time,vehicle,x,y,distance,speed,latency,energy
1,def.0,3.1,-1.65,706.0894649405271,0.0,706.5894649405271,141.31789298810543
2,def.0,3.900000000000001,-1.65,705.5267057312572,0.8,392.4592809618095,78.49185619236191
3,def.0,5.5,-1.65,704.4025642344014,1.6,271.42406316707746,54.2848126334155
4,def.0,7.8999999999999995,-1.65,702.7198108065547,2.4000000000000004,207.18229729604548,41.4364594592091
5,def.0,11.100000000000001,-1.65,700.4826425401275,3.2,167.2815815571732,33.45631631143464
5,def.1,3.1,-1.65,706.0894649405271,0.0,706.5894649405271,141.31789298810543
6,def.0,15.100000000000001,-1.65,697.6967339037785,4.0,140.0393467807557,28.00786935615114
6,def.1,3.900000000000001,-1.65,705.5267057312572,0.8,392.4592809618095,78.49185619236191
7,def.0,19.900000000000002,-1.65,694.3693055572085,4.8,120.2188457857256,24.04376915714512
7,def.1,5.5,-1.65,704.4025642344014,1.6,271.42406316707746,54.2848126334155
8,def.0,25.5,-1.65,690.5092124656991,5.6,105.12260794934835,21.02452158986967
8,def.1,7.8999999999999995,-1.65,702.7198108065547,2.4000000000000004,207.18229729604548,41.4364594592091
9,def.0,31.899999999999995,-1.65,686.1270527387767,6.3999999999999995,93.21987199172659,18.643974398345318
9,def.1,11.100000000000001,-1.65,700.4826425401275,3.2,167.2815815571732,33.45631631143464
9,def.2,3.1,-1.65,706.0894649405271,0.0,706.5894649405271,141.31789298810543
10,def.0,39.099999999999994,-1.65,681.2352989239474,7.199999999999999,83.57747547853018,16.715495095706036
10,def.1,15.100000000000001,-1.65,697.6967339037785,4.0,140.0393467807557,28.00786935615114
10,def.2,3.900000000000001,-1.65,705.5267057312572,0.8,392.4592809618095,78.49185619236191
11,def.0,47.099999999999994,-1.65,675.8484537971511,7.999999999999999,75.5942726441279,15.11885452882558
11,def.1,19.900000000000002,-1.65,694.3693055572085,4.8,120.2188457857256,24.04376915714512
11,def.2,5.5,-1.65,704.4025642344014,1.6,271.42406316707746,54.2848126334155
12,def.0,55.89999999999999,-1.65,669.983232999155,8.799999999999999,68.86563602032194,13.773127204064389
12,def.1,25.5,-1.65,690.5092124656991,5.6,105.12260794934835,21.02452158986967
12,def.2,7.8999999999999995,-1.65,702.7198108065547,2.4000000000000004,207.18229729604548,41.4364594592091
13,def.0,65.49999999999999,-1.65,663.658777158865,9.6,63.10931859989292,12.621863719978585
13,def.1,31.899999999999995,-1.65,686.1270527387767,6.3999999999999995,93.21987199172659,18.643974398345318
13,def.2,11.100000000000001,-1.65,700.4826425401275,3.2,167.2815815571732,33.45631631143464
13,def.3,3.1,-1.65,706.0894649405271,0.0,706.5894649405271,141.31789298810543
14,def.0,75.89999999999999,-1.65,656.8968964000362,10.4,58.122534771933,11.6245069543866
14,def.1,39.099999999999994,-1.65,681.2352989239474,7.199999999999999,83.57747547853018,16.715495095706036
14,def.2,15.100000000000001,-1.65,697.6967339037785,4.0,140.0393467807557,28.00786935615114
14,def.3,3.900000000000001,-1.65,705.5267057312572,0.8,392.4592809618095,78.49185619236191
15,def.0,87.1,-1.65,649.7223503158868,11.200000000000001,53.755930353761215,10.751186070752244
15,def.1,47.099999999999994,-1.65,675.8484537971511,7.999999999999999,75.5942726441279,15.11885452882558
15,def.2,19.900000000000002,-1.65,694.3693055572085,4.8,120.2188457857256,24.04376915714512
15,def.3,5.5,-1.65,704.4025642344014,1.6,271.42406316707746,54.2848126334155
16,def.0,99.1,-1.65,642.1631665706154,12.000000000000002,49.897166659278106,9.979433331855622
16,def.1,55.89999999999999,-1.65,669.983232999155,8.799999999999999,68.86563602032194,13.773127204064389
16,def.2,25.5,-1.65,690.5092124656991,5.6,105.12260794934835,21.02452158986967
16,def.3,7.8999999999999995,-1.65,702.7198108065547,2.4000000000000004,207.18229729604548,41.4364594592091
17,def.0,111.89999999999999,-1.65,634.2510011817088,12.800000000000002,46.46021747693541,9.292043495387082
17,def.1,65.49999999999999,-1.65,663.658777158865,9.6,63.10931859989292,12.621863719978585
17,def.2,31.899999999999995,-1.65,686.1270527387767,6.3999999999999995,93.21987199172659,18.643974398345318
17,def.3,11.100000000000001,-1.65,700.4826425401275,3.2,167.2815815571732,33.45631631143464
17,def.4,3.1,-1.65,706.0894649405271,0.0,706.5894649405271,141.31789298810543
18,def.0,125.49999999999999,-1.65,626.0215431596583,13.600000000000003,43.37818788764782,8.675637577529564
18,def.1,75.89999999999999,-1.65,656.8968964000362,10.4,58.122534771933,11.6245069543866
18,def.2,39.099999999999994,-1.65,681.2352989239474,7.199999999999999,83.57747547853018,16.715495095706036
18,def.3,15.100000000000001,-1.65,697.6967339037785,4.0,140.0393467807557,28.00786935615114
18,def.4,3.900000000000001,-1.65,705.5267057312572,0.8,392.4592809618095,78.49185619236191
19,def.0,139.4,-1.65,617.8066708121563,13.9,41.963534953835996,8.3927069907672
19,def.1,87.1,-1.65,649.7223503158868,11.200000000000001,53.755930353761215,10.751186070752244
19,def.2,47.099999999999994,-1.65,675.8484537971511,7.999999999999999,75.5942726441279,15.11885452882558
19,def.3,19.900000000000002,-1.65,694.3693055572085,4.8,120.2188457857256,24.04376915714512
19,def.4,5.5,-1.65,704.4025642344014,1.6,271.42406316707746,54.2848126334155
20,def.0,153.3,-1.65,609.7980095900608,13.9,41.426040912084616,8.285208182416923
20,def.1,99.1,-1.65,642.1631665706154,12.000000000000002,49.897166659278106,9.979433331855622
20,def.2,55.89999999999999,-1.65,669.983232999155,8.799999999999999,68.86563602032194,13.773127204064389
