time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,send_latency,return_latency,total_latency,energy,scenario_id,data_size,result_size
0,0,1631.551773282332,2371.308247302937,0.0,BS16,56.927829167288856,True,1.5244289046895554,0.24667929508574482,1.7711081997753002,0.35422163995506006,1,1200,220
10,0,1630.6899856949092,2369.1325868363283,2.3400352335069328,BS16,54.76794284690099,True,2.013721735699415,0.28389270165547636,2.2976144373548912,0.45952288747097825,3,1800,280
10,1,640.93,5321.68,0.0,BS27,162.406850224983,True,3.0761007334879245,0.5035029412092465,3.579603674697171,0.7159207349394343,8,3000,400
20,0,1629.297327227847,2365.6166949686635,3.7815233460394664,BS16,51.31096493179762,True,1.365680488917957,0.22294400960133462,1.5886244985192917,0.31772489970385837,0,1000,200
20,1,640.93,5320.014641767177,1.6653582328232006,BS27,161.57992168236916,True,3.4692335186507552,0.5315218042167016,4.000755322867457,0.8001510645734915,9,3500,450
20,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,3.192901097361905,0.5884095675799322,3.7813106649418375,0.7562621329883675,8,3000,400
30,0,1627.0017926481028,2359.82141094767,6.233127367729321,BS16,45.72511534425213,True,2.231668161012035,0.28605005332815514,2.51771821434019,0.503543642868038,4,2000,300
30,1,641.1204996677792,5316.646397955525,3.424795,BS27,160.1148621456779,True,1.9349288016445003,0.37712738797157747,2.3120561896160776,0.46241123792321553,2,1500,250
30,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.9724804914764984,0.4841238217160657,2.456604313192564,0.4913208626385128,2,1500,250
30,3,2897.3432930513595,4877.4148942598185,0.0,BS5,207.84155475102546,True,1.6821161390890402,0.38867737359269866,2.070793512681739,0.4141587025363478,1,1200,220
40,0,1623.1212936320228,2352.74846599804,8.093998390925117,BS16,38.29600701004135,True,2.36366861014673,0.33465242067376033,2.6983210308204906,0.5396642061640982,5,2200,320
40,1,642.7604340869394,5315.456870312391,2.2586447789110986,BS27,161.00096275041543,True,2.9596237718958855,0.5136567509493839,3.4732805228452692,0.6946561045690539,7,2800,380
40,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,2.758829135073585,0.5406080293360943,3.2994371644096794,0.659887432881936,6,2500,350
40,3,2896.866497846333,4875.714939608603,1.7635102747473868,BS5,206.5202805824731,True,3.6000654553761535,0.5846020318908218,4.184667487266975,0.8369334974533951,9,3500,450
40,4,1592.68,4237.6,0.0,BS39,122.00043811396732,True,2.1374576217354595,0.34829165729675043,2.48574927903221,0.497149855806442,3,1800,280
