d_timestamp,container_id,d_cpu(proc),d_memory_usage(max_128),d_net_io,io,pid,t_timestamp,t_ram(max_3964MB),t_swap(max_1982MB),t_cpu(arr[4]),t_cpu_temp,thermal,pom_5v_in,pom_5v_cpu
2025-03-16 02:31:42,04463a03fa97,25.29,22.82,2.36 / 0B,7.37 / 0B,10,2025-03-16 02:31:43,2052,37,"[14%@1479,12%@1479,17%@1479,15%@1479]",27,26.5,1412,353
2025-03-16 02:31:45,04463a03fa97,25.95,24.6,2.36 / 0B,7.44 / 0B,10,2025-03-16 02:31:45,2055,37,"[17%@307,11%@307,16%@307,17%@307]",27,26.75,1490,274
2025-03-16 02:31:47,04463a03fa97,25.26,25.43,2.36 / 0B,7.44 / 0B,10,2025-03-16 02:31:48,2057,37,"[28%@614,21%@614,25%@614,14%@921]",27,26.75,1798,430
2025-03-16 02:31:50,04463a03fa97,24.87,25.93,2.36 / 0B,7.44 / 0B,10,2025-03-16 02:31:50,2058,37,"[15%@204,18%@204,12%@204,17%@204]",27,26.75,1296,196
2025-03-16 02:31:52,04463a03fa97,25.53,29.82,2.36 / 0B,7.44 / 0B,10,2025-03-16 02:31:54,2063,37,"[13%@518,23%@518,16%@518,12%@518]",27.5,26.5,1451,353
2025-03-16 02:31:55,04463a03fa97,26.51,31.66,2.36 / 0B,7.77 / 0B,10,2025-03-16 02:31:57,2065,37,"[18%@204,19%@204,13%@204,15%@204]",27,27,1220,275
2025-03-16 02:31:58,04463a03fa97,25.10,32.54,2.36 / 0B,7.87 / 0B,10,2025-03-16 02:31:59,2064,37,"[25%@710,26%@710,22%@710,17%@710]",27,26.75,2182,623
2025-03-16 02:32:00,04463a03fa97,7.94,33.47,3.23 / 1.02,7.92 / 0B,10,2025-03-16 02:32:02,2064,37,"[19%@102,12%@204,10%@204,11%@204]",27,26.75,1103,157
2025-03-16 02:32:03,04463a03fa97,26.27,38.96,4.09MB / 22.5,7.92 / 0B,16,2025-03-16 02:32:04,2068,37,"[21%@204,15%@204,14%@204,9%@204]",27,26.75,1102,196
2025-03-16 02:32:05,04463a03fa97,25.66,41.1,4.09MB / 22.5,7.92 / 0B,16,2025-03-16 02:32:07,2073,37,"[15%@1479,20%@1479,13%@1479,7%@1479]",27,26.75,1645,313
2025-03-16 02:32:08,04463a03fa97,25.46,47.52,4.09MB / 22.5,8 / 0B,16,2025-03-16 02:32:09,2074,37,"[22%@1428,26%@1428,15%@1428,25%@1428]",27,26.25,2976,1314
2025-03-16 02:32:11,04463a03fa97,24.74,51.36,4.61MB / 27.1,8 / 0B,33,2025-03-16 02:32:12,2079,37,"[14%@825,17%@825,13%@825,16%@825]",27,26.5,1375,314
2025-03-16 02:32:13,04463a03fa97,25.08,50.86,5.15MB / 34.4,8 / 0B,28,2025-03-16 02:32:14,2080,37,"[18%@204,20%@204,10%@204,11%@204]",27,26.75,1453,235
2025-03-16 02:32:16,04463a03fa97,25.29,51.43,5.17MB / 55.1,8 / 0B,28,2025-03-16 02:32:17,2083,37,"[19%@1036,13%@1036,11%@1036,12%@1036]",27,26.5,1569,392
