time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,latency,energy,scenario_id,data_size
0,0,1631.551773282332,2371.308247302937,0.0,BS16,56.927829167288856,True,1.5244289046895554,0.3048857809379111,1,1200
10,0,1630.6899856949092,2369.1325868363283,2.3400352335069328,BS16,54.76794284690099,True,2.1842571282272485,0.4368514256454497,4,2000
10,1,640.93,5321.68,0.0,BS27,162.406850224983,True,1.941053971641384,0.3882107943282768,2,1500
20,0,1629.297327227847,2365.6166949686635,3.7815233460394664,BS16,51.31096493179762,True,2.965004848194739,0.5930009696389478,8,3000
20,1,640.93,5320.014641767177,1.6653582328232006,BS27,161.57992168236916,True,2.6697581896305476,0.5339516379261096,6,2500
20,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.7328129127460998,0.34656258254922,1,1200
30,0,1627.0017926481028,2359.82141094767,6.233127367729321,BS16,45.72511534425213,True,3.01092698824925,0.60218539764985,8,3000
30,1,641.1204996677792,5316.646397955525,3.424795,BS27,160.1148621456779,True,3.084998627214343,0.6169997254428686,8,3000
30,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,3.192901097361905,0.6385802194723811,8,3000
30,3,2897.3432930513595,4877.4148942598185,0.0,BS5,207.84155475102546,True,3.011768123138616,0.6023536246277232,7,2800
40,0,1623.1212936320228,2352.74846599804,8.093998390925117,BS16,38.29600701004135,True,1.4191767437230183,0.28383534874460364,0,1000
40,1,642.7604340869394,5315.456870312391,2.2586447789110986,BS27,161.00096275041543,True,1.935814902249238,0.3871629804498476,2,1500
40,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,2.5387362494329033,0.5077472498865807,5,2200
40,3,2896.866497846333,4875.714939608603,1.7635102747473868,BS5,206.5202805824731,True,2.247241587803151,0.4494483175606302,3,1800
40,4,1592.68,4237.6,0.0,BS39,122.00043811396732,True,2.397221465765952,0.4794442931531904,5,2200
50,0,1616.236998695067,2345.4801837618015,10.396026696660556,BS16,28.511057123183704,True,2.5431826948065304,0.5086365389613061,6,2500
50,1,644.1213126463175,5317.703817306034,2.84501929429926,BS27,163.2579300142645,True,2.4886305331509533,0.4977261066301907,5,2200
50,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.6239222939351212,0.3247844587870243,0,1000
50,3,2895.8899011006765,4872.099956493635,3.7449334883829586,BS5,203.7646225786959,True,3.1212472388640164,0.6242494477728033,8,3000
50,4,1592.01,4234.47,0.0,BS39,122.33836233986453,True,2.63521838214771,0.527043676429542,6,2500
50,5,2416.48,7515.56,0.0,BS47,184.11994270040447,True,2.372060409125704,0.4744120818251408,4,2000
60,0,1606.1771426795226,2340.663419989303,11.153141716360423,BS16,17.485830788694233,True,3.4110310055823745,0.6822062011164749,9,3500
60,1,644.1234320695332,5323.056277641393,5.352460335359052,BS27,165.86088834609274,True,2.488596102871769,0.49771922057435386,5,2200
60,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.7155315536313056,0.34310631072626113,1,1200
60,3,2894.342275699903,4866.353153795279,5.95178434222471,BS5,199.45445930841728,True,2.2217612933872863,0.4443522586774573,3,1800
60,4,1591.33,4231.34,0.0,BS39,122.76882503306773,True,1.6733005971345822,0.3346601194269165,1,1200
60,5,2418.9988653807063,7515.969491957544,2.5542908898089083,BS47,184.3512137533543,True,1.6873638362572707,0.33747276725145414,1,1200
60,6,2319.324150943396,3730.1645283018865,0.0,BS15,237.80175560311724,True,3.0463702000295574,0.6092740400059116,7,2800
70,0,1599.5849612234272,2341.5541856728614,6.653141716360423,BS16,13.558045498881814,True,2.2948234552144897,0.45896469104289794,5,2200
70,1,644.1682722321631,5330.438362360229,7.382084718836547,BS27,169.69805966316528,True,2.455648762740314,0.49112975254806285,5,2200
70,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,2.421131146611595,0.48422622932231896,4,2000
70,3,2893.192329931764,4861.903363649,4.592640552258119,BS5,196.21804817736216,True,1.7221311487440607,0.34442622974881215,1,1200
70,4,1591.33,4231.34,0.0,BS39,122.76882503306773,True,1.8811828127360384,0.3762365625472077,2,1500
70,5,2423.428399529764,7516.118530228008,4.434701412694193,BS47,184.27205924210367,True,2.1456123086182965,0.4291224617236593,3,1800
70,6,2319.618424220327,3731.5174888709726,1.3843032849719747,BS15,236.60244722704635,True,2.768597229905474,0.5537194459810948,6,2500
70,7,820.4710133708656,6210.130351864884,0.0,BS55,130.08830160761948,True,3.0570498190046465,0.6114099638009294,8,3000
80,0,1591.2429242495052,2342.674689824679,8.417493675328169,BS16,12.49838070941977,True,2.3617835727284007,0.4723567145456802,5,2200
80,1,644.3933242957222,5340.401898278432,9.963535918203258,BS27,175.37246789318053,True,1.503277275089591,0.30065545501791824,0,1000
80,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.6314536953428609,0.3262907390685722,0,1000
80,3,2890.401055523384,4856.804187169093,5.969460771230265,BS5,191.28587493422222,True,2.723059962531792,0.5446119925063585,6,2500
80,4,1591.33,4231.34,0.0,BS39,122.76882503306773,True,2.159082437451622,0.4318164874903245,3,1800
80,5,2427.236554341612,7516.212683922482,3.8096033302244168,BS47,184.2552379918449,True,3.5768920006391114,0.7153784001278223,9,3500
80,6,2320.266508240624,3734.514468136233,3.065586771327071,BS15,233.95193901872676,True,2.5202145934241407,0.5040429186848282,5,2200
80,7,818.9745589741625,6210.3680365731925,1.5145738587714732,BS55,128.627637548282,True,2.9131908276543483,0.5826381655308697,7,2800
80,8,3031.45596169687,1520.7465403624383,0.0,BS53,218.1104830163592,True,2.9773976420605655,0.5954795284121132,7,2800
90,0,1580.7142331000553,2344.076416732898,10.623127176291618,BS16,17.98007488689258,True,1.7476428256562908,0.3495285651312582,2,1500
90,1,645.5040832275854,5346.688007806416,6.49252994504074,BS27,179.9261875490477,True,3.1388239165157765,0.6277647833031553,8,3000
90,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,3.593792497995197,0.7187584995990395,9,3500
90,3,2884.6507061556285,4856.678109521937,5.890576363375626,BS5,186.20933508482102,True,3.5311493855988605,0.7062298771197721,9,3500
