time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,send_latency,return_latency,total_latency,energy,scenario_id,data_size,result_size,deadline,arrival_time,processing_time,waiting_time,node_assigned,status,handover
0,0,1631.551773282332,2371.308247302937,0.0,BS16,56.927829167288856,True,1.5244289046895554,0.24667929508574482,1.7711081997753002,0.35422163995506006,1,1200,220,2.892842952595291,0,1.7711081997753002,0,BS16_Node_0,assigned,False
10,0,1630.6899856949092,2369.1325868363283,2.3400352335069328,BS16,54.76794284690099,True,1.587437891589192,0.2753769212321433,1.8628148128213353,0.3725629625642671,1,1200,220,2.3477553305176646,10,1.8628148128213353,0,BS16_Node_1,assigned,False
10,1,640.93,5321.68,0.0,BS27,162.406850224983,True,2.6705851181731615,0.44709161221806265,3.1176767303912243,0.6235353460782449,6,2500,350,2.9306435735629583,10,3.1176767303912243,0,BS27_Node_0,assigned,False
20,0,1629.297327227847,2365.6166949686635,3.7815233460394664,BS16,51.31096493179762,True,3.3589645619001836,0.42125284746613,3.7802174093663137,0.7560434818732628,9,3500,450,4.599537751118093,20,3.7802174093663137,0,BS16_Node_2,assigned,False
20,1,640.93,5320.014641767177,1.6653582328232006,BS27,161.57992168236916,True,3.108531903778535,0.5040403739965619,3.612572277775097,0.7225144555550194,8,3000,400,3.112762832922651,20,3.612572277775097,0,BS27_Node_1,assigned,False
20,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.6268298519787163,0.41393208108458407,2.0407619330633002,0.40815238661266007,0,1000,200,3.69045759261401,20,2.0407619330633002,0,BS12_Node_0,assigned,False
30,0,1627.0017926481028,2359.82141094767,6.233127367729321,BS16,45.72511534425213,True,2.1662730653254303,0.33358576895459113,2.4998588342800216,0.49997176685600436,4,2000,300,3.346378180450507,30,2.4998588342800216,0,BS16_Node_3,assigned,False
30,1,641.1204996677792,5316.646397955525,3.424795,BS27,160.1148621456779,True,1.6631075922094114,0.3540638311699093,2.0171714233793208,0.4034342846758642,1,1200,220,3.3758228899158844,30,2.0171714233793208,0,BS27_Node_2,assigned,False
30,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,2.431661942593178,0.5224357046004304,2.954097647193608,0.5908195294387216,4,2000,300,4.1449123658188025,30,2.954097647193608,0,BS12_Node_1,assigned,False
30,3,2897.3432930513595,4877.4148942598185,0.0,BS5,207.84155475102546,True,2.720721574558871,0.5025004688213801,3.223222043380251,0.6446444086760503,6,2500,350,4.514559197977773,30,3.223222043380251,0,BS5_Node_0,assigned,False
40,0,1623.1212936320228,2352.74846599804,8.093998390925117,BS16,38.29600701004135,True,2.3610312215357174,0.3295245988207875,2.6905558203565048,0.538111164071301,5,2200,320,2.183297534622649,40,2.6905558203565048,0,BS16_Node_4,assigned,False
40,1,642.7604340869394,5315.456870312391,2.2586447789110986,BS27,161.00096275041543,True,2.1833077968292844,0.43426203878345326,2.6175698356127377,0.5235139671225476,3,1800,280,5.421270884060588,40,2.6175698356127377,0,BS27_Node_3,assigned,False
40,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.748961737769656,0.4446196303841613,2.193581368153817,0.4387162736307635,1,1200,220,5.336441706563001,40,2.193581368153817,0,BS12_Node_2,assigned,False
40,3,2896.866497846333,4875.714939608603,1.7635102747473868,BS5,206.5202805824731,True,1.9485383772941611,0.4169956321210475,2.3655340094152084,0.4731068018830417,2,1500,250,3.0679112881964534,40,2.3655340094152084,0,BS5_Node_1,assigned,False
40,4,1592.68,4237.6,0.0,BS39,122.00043811396732,True,1.6479135386806658,0.30655737052387216,1.954470909204538,0.39089418184090763,1,1200,220,4.916507191801397,40,1.954470909204538,0,BS39_Node_0,assigned,False
50,0,1616.236998695067,2345.4801837618015,10.396026696660556,BS16,28.511057123183704,True,1.779737078308295,0.2420084484623976,2.0217455267706925,0.40434910535413854,2,1500,250,5.701564718484871,50,2.0217455267706925,0,BS16_Node_5,assigned,False
50,1,644.1213126463175,5317.703817306034,2.84501929429926,BS27,163.2579300142645,True,3.0902194474112914,0.49947206673503064,3.589691514146322,0.7179383028292645,8,3000,400,5.073254310369489,50,3.589691514146322,0,BS27_Node_4,assigned,False
50,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,1.57385392246215,0.40755412746094144,1.9814080499230915,0.3962816099846183,0,1000,200,3.2618121922363277,50,1.9814080499230915,0,BS12_Node_3,assigned,False
50,3,2895.8899011006765,4872.099956493635,3.7449334883829586,BS5,203.7646225786959,True,2.315383483099851,0.4894214287879731,2.804804911887824,0.5609609823775649,4,2000,300,4.2687202059140095,50,2.804804911887824,0,BS5_Node_2,assigned,False
50,4,1592.01,4234.47,0.0,BS39,122.33836233986453,True,2.4086010167452785,0.4032999253144784,2.811900942059757,0.5623801884119514,5,2200,320,5.5387326155468095,50,2.811900942059757,0,BS39_Node_1,assigned,False
50,5,2416.48,7515.56,0.0,BS47,184.11994270040447,True,2.9434071017446106,0.4951014586766798,3.4385085604212904,0.6877017120842581,7,2800,380,4.979955928366426,50,3.4385085604212904,0,BS47_Node_0,assigned,False
60,0,1606.1771426795226,2340.663419989303,11.153141716360423,BS16,17.485830788694233,True,2.9487599916409875,0.3667151302998713,3.315475121940859,0.6630950243881718,8,3000,400,5.591291534409908,60,3.315475121940859,0,BS16_Node_6,assigned,False
60,1,644.1234320695332,5323.056277641393,5.352460335359052,BS27,165.86088834609274,True,2.7070605327174535,0.4957271772455508,3.202787709963004,0.6405575419926008,6,2500,350,2.5533269795634235,60,3.202787709963004,0,BS27_Node_5,assigned,False
