Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:39:45 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:45 TegraStats: RAM 2004/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,10%@204,9%@204,13%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1336/1921 POM_5V_GPU 39/57 POM_5V_CPU 275/596 | [Container1: 2025-03-16 14:39:45 Container1 PerfStat: 43.056997468      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:46 Container2 PerfStat: 44.037510337      <not counted>      cache-misses] 
2025-03-16 14:39:47 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:48 TegraStats: RAM 2003/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,9%@204,10%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1102/1899 POM_5V_GPU 39/57 POM_5V_CPU 157/583 | [Container1: 2025-03-16 14:39:47 Container1 PerfStat: 45.062102012      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:48 Container2 PerfStat: 46.042676340      <not counted>      cache-misses] 
2025-03-16 14:39:49 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:50 TegraStats: RAM 2004/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,6%@204,15%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1025/1871 POM_5V_GPU 0/57 POM_5V_CPU 157/567 | [Container1: 2025-03-16 14:39:49 Container1 PerfStat: 47.068403437      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:50 Container2 PerfStat: 48.046476607      <not counted>      cache-misses] 
2025-03-16 14:39:52 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:53 TegraStats: RAM 2003/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,13%@204,10%@204,12%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1141/1845 POM_5V_GPU 39/56 POM_5V_CPU 196/555 | [Container1: 2025-03-16 14:39:52 Container1 PerfStat: 50.074767617      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:52 Container2 PerfStat: 50.051774485      <not counted>      cache-misses] 
2025-03-16 14:39:54 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:55 TegraStats: RAM 2004/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,17%@204,18%@204,15%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 2182/1838 POM_5V_GPU 116/57 POM_5V_CPU 311/544 | [Container1: 2025-03-16 14:39:54 Container1 PerfStat: 52.079712525      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:54 Container2 PerfStat: 52.057590491      <not counted>      cache-misses] 
2025-03-16 14:39:56 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:39:57 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@1479,14%@1479,11%@1479,9%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 2143/1832 POM_5V_GPU 155/58 POM_5V_CPU 778/542 | [Container1: 2025-03-16 14:39:56 Container1 PerfStat: 54.084978111      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:56 Container2 PerfStat: 54.063067849      <not counted>      cache-misses] 
2025-03-16 14:39:58 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:00 TegraStats: RAM 1889/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@1326,9%@1326,15%@1326,18%@1326] EMC_FREQ 1%@1600 GR3D_FREQ 99%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 2598/1837 POM_5V_GPU 232/60 POM_5V_CPU 504/533 | [Container1: 2025-03-16 14:39:59 Container1 PerfStat: 57.090419057      <not counted>      cache-misses] [Container2: 2025-03-16 14:39:59 Container2 PerfStat: 57.067694468      <not counted>      cache-misses] 
2025-03-16 14:40:01 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:02 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,25%@204,14%@204,15%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1375/1820 POM_5V_GPU 39/60 POM_5V_CPU 235/523 | [Container1: 2025-03-16 14:40:01 Container1 PerfStat: 59.095803915      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:01 Container2 PerfStat: 59.073024170      <not counted>      cache-misses] 
2025-03-16 14:40:03 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:04 TegraStats: RAM 1870/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@518,11%@518,21%@518,12%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28C PMIC@50C GPU@29C AO@33C thermal@27.5C POM_5V_IN 2217/1817 POM_5V_GPU 0/59 POM_5V_CPU 738/521 | [Container1: 2025-03-16 14:40:03 Container1 PerfStat: 61.100161164      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:04 Container2 PerfStat: 62.079098660      <not counted>      cache-misses] 
2025-03-16 14:40:06 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:06 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,19%@307,14%@307,19%@307] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1991/1825 POM_5V_GPU 39/59 POM_5V_CPU 430/518 | [Container1: 2025-03-16 14:40:05 Container1 PerfStat: 63.101704962      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:06 Container2 PerfStat: 64.080600583      <not counted>      cache-misses] 
2025-03-16 14:40:08 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:09 TegraStats: RAM 1879/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,9%@204,11%@204,5%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1141/1803 POM_5V_GPU 39/59 POM_5V_CPU 196/507 | [Container1: 2025-03-16 14:40:08 Container1 PerfStat: 66.106761479      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:08 Container2 PerfStat: 66.085694450      <not counted>      cache-misses] 
2025-03-16 14:40:10 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:11 TegraStats: RAM 1883/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,9%@204,10%@204,10%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1141/1790 POM_5V_GPU 39/61 POM_5V_CPU 196/500 | [Container1: 2025-03-16 14:40:10 Container1 PerfStat: 68.111913523      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:10 Container2 PerfStat: 68.091534779      <not counted>      cache-misses] 
2025-03-16 14:40:12 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:13 TegraStats: RAM 1879/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,11%@204,11%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1490/1777 POM_5V_GPU 39/60 POM_5V_CPU 275/492 | [Container1: 2025-03-16 14:40:12 Container1 PerfStat: 70.115909520      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:13 Container2 PerfStat: 71.097030725      <not counted>      cache-misses] 
2025-03-16 14:40:14 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:15 TegraStats: RAM 1879/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@710,9%@710,9%@710,10%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1762/1769 POM_5V_GPU 39/60 POM_5V_CPU 547/489 | [Container1: 2025-03-16 14:40:14 Container1 PerfStat: 72.120958804      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:15 Container2 PerfStat: 73.102527354      <not counted>      cache-misses] 
2025-03-16 14:40:17 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:17 TegraStats: RAM 1883/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,10%@204,13%@204,6%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1064/1772 POM_5V_GPU 0/60 POM_5V_CPU 157/494 | [Container1: 2025-03-16 14:40:16 Container1 PerfStat: 74.125145531      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:17 Container2 PerfStat: 75.106300694      <not counted>      cache-misses] 
2025-03-16 14:40:19 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:19 TegraStats: RAM 1880/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,15%@204,9%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@33C thermal@27.25C POM_5V_IN 1336/1763 POM_5V_GPU 39/59 POM_5V_CPU 235/488 | [Container1: 2025-03-16 14:40:19 Container1 PerfStat: 77.130122516      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:19 Container2 PerfStat: 77.109334707      <not counted>      cache-misses] 
2025-03-16 14:40:21 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:21 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,9%@204,8%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1569/1754 POM_5V_GPU 117/60 POM_5V_CPU 274/482 | [Container1: 2025-03-16 14:40:21 Container1 PerfStat: 79.132984393      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:21 Container2 PerfStat: 79.112705493      <not counted>      cache-misses] 
2025-03-16 14:40:23 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:24 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,6%@102,9%@102,6%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1102/1746 POM_5V_GPU 39/60 POM_5V_CPU 157/478 | [Container1: 2025-03-16 14:40:23 Container1 PerfStat: 81.136291481      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:23 Container2 PerfStat: 81.115175858      <not counted>      cache-misses] 
2025-03-16 14:40:25 | 1df4f1608607 27d1ee587b0f | [Container1: 1df4f1608607	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 27d1ee587b0f	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:40:26 TegraStats: RAM 1891/3964MB (lfb 99x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,10%@1479,13%@1479,15%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 2143/1743 POM_5V_GPU 38/60 POM_5V_CPU 972/480 | [Container1: 2025-03-16 14:40:25 Container1 PerfStat: 83.138388979      <not counted>      cache-misses] [Container2: 2025-03-16 14:40:26 Container2 PerfStat: 84.117443195      <not counted>      cache-misses] 
