Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:54:01 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:02 TegraStats: RAM 2003/3964MB (lfb 97x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,14%@204,11%@204,16%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.75C POM_5V_IN 1336/1986 POM_5V_GPU 39/61 POM_5V_CPU 235/612 | [Container1: 2025-03-16 14:54:02 Container1 PerfStat: 44.051244466      <not counted>      instructions] [Container2: 2025-03-16 14:54:02 Container2 PerfStat: 44.052641348      <not counted>      cache-misses] 
2025-03-16 14:54:03 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:04 TegraStats: RAM 2005/3964MB (lfb 96x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@825,15%@825,22%@825,14%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 2104/1972 POM_5V_GPU 39/61 POM_5V_CPU 624/604 | [Container1: 2025-03-16 14:54:04 Container1 PerfStat: 46.054712856      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:04 Container2 PerfStat: 46.055335307      <not counted>      cache-misses] 
2025-03-16 14:54:05 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:06 TegraStats: RAM 2005/3964MB (lfb 97x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,10%@204,8%@204,7%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1952/1956 POM_5V_GPU 39/60 POM_5V_CPU 195/588 | [Container1: 2025-03-16 14:54:06 Container1 PerfStat: 48.058145257      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:06 Container2 PerfStat: 48.058971355      <not counted>      cache-misses] 
2025-03-16 14:54:07 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:08 TegraStats: RAM 2006/3964MB (lfb 96x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,8%@204,10%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1141/1928 POM_5V_GPU 78/60 POM_5V_CPU 275/575 | [Container1: 2025-03-16 14:54:08 Container1 PerfStat: 50.059695877      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:09 Container2 PerfStat: 51.062616980      <not counted>      cache-misses] 
2025-03-16 14:54:10 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:10 TegraStats: RAM 2007/3964MB (lfb 96x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,5%@204,10%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1220/1903 POM_5V_GPU 39/60 POM_5V_CPU 196/563 | [Container1: 2025-03-16 14:54:10 Container1 PerfStat: 52.063303175      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:11 Container2 PerfStat: 53.067819805      <not counted>      cache-misses] 
2025-03-16 14:54:12 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:13 TegraStats: RAM 1895/3964MB (lfb 97x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,15%@102,6%@102,9%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1220/1899 POM_5V_GPU 39/60 POM_5V_CPU 196/553 | [Container1: 2025-03-16 14:54:12 Container1 PerfStat: 54.067039483      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:13 Container2 PerfStat: 55.070976892      <not counted>      cache-misses] 
2025-03-16 14:54:14 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:15 TegraStats: RAM 1894/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,7%@307,10%@307,9%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33C thermal@28C POM_5V_IN 1141/1880 POM_5V_GPU 0/59 POM_5V_CPU 236/543 | [Container1: 2025-03-16 14:54:15 Container1 PerfStat: 57.074113979      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:15 Container2 PerfStat: 57.075577580      <not counted>      cache-misses] 
2025-03-16 14:54:16 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:17 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,21%@204,4%@204,9%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1180/1887 POM_5V_GPU 39/59 POM_5V_CPU 196/551 | [Container1: 2025-03-16 14:54:17 Container1 PerfStat: 59.076078716      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:18 Container2 PerfStat: 60.078849296      <not counted>      cache-misses] 
2025-03-16 14:54:19 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:20 TegraStats: RAM 1876/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,21%@204,9%@204,7%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1141/1880 POM_5V_GPU 78/59 POM_5V_CPU 236/542 | [Container1: 2025-03-16 14:54:20 Container1 PerfStat: 62.080578668      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:21 Container2 PerfStat: 63.084433056      <not counted>      cache-misses] 
2025-03-16 14:54:22 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:22 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,12%@204,9%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@29C AO@33.5C thermal@28C POM_5V_IN 1141/1859 POM_5V_GPU 0/57 POM_5V_CPU 196/533 | [Container1: 2025-03-16 14:54:22 Container1 PerfStat: 64.084726436      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:23 Container2 PerfStat: 65.088811450      <not counted>      cache-misses] 
2025-03-16 14:54:24 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:24 TegraStats: RAM 1889/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,14%@204,9%@204,10%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 2104/1852 POM_5V_GPU 38/57 POM_5V_CPU 272/525 | [Container1: 2025-03-16 14:54:24 Container1 PerfStat: 66.087689616      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:25 Container2 PerfStat: 67.090867855      <not counted>      cache-misses] 
2025-03-16 14:54:26 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:26 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,12%@307,7%@307,7%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1605/1855 POM_5V_GPU 39/57 POM_5V_CPU 313/520 | [Container1: 2025-03-16 14:54:27 Container1 PerfStat: 69.090941176      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:27 Container2 PerfStat: 69.094604059      <not counted>      cache-misses] 
2025-03-16 14:54:28 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:29 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,12%@204,3%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1102/1836 POM_5V_GPU 39/57 POM_5V_CPU 157/509 | [Container1: 2025-03-16 14:54:29 Container1 PerfStat: 71.095132747      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:29 Container2 PerfStat: 71.098418545      <not counted>      cache-misses] 
2025-03-16 14:54:30 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:31 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,12%@204,10%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1180/1819 POM_5V_GPU 78/57 POM_5V_CPU 196/501 | [Container1: 2025-03-16 14:54:31 Container1 PerfStat: 73.099185828      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:31 Container2 PerfStat: 73.101229640      <not counted>      cache-misses] 
2025-03-16 14:54:33 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:33 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,11%@204,11%@204,11%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1530/1807 POM_5V_GPU 78/57 POM_5V_CPU 274/494 | [Container1: 2025-03-16 14:54:33 Container1 PerfStat: 75.101071815      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:34 Container2 PerfStat: 76.105005057      <not counted>      cache-misses] 
2025-03-16 14:54:35 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:35 TegraStats: RAM 1889/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@1479,10%@1479,7%@1479,11%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@29C PMIC@50C GPU@29C AO@33.5C thermal@28.25C POM_5V_IN 1759/1799 POM_5V_GPU 0/57 POM_5V_CPU 625/493 | [Container1: 2025-03-16 14:54:35 Container1 PerfStat: 77.103602284      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:36 Container2 PerfStat: 78.107513860      <not counted>      cache-misses] 
2025-03-16 14:54:37 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:37 TegraStats: RAM 1887/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,9%@102,11%@102,8%@102] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1141/1784 POM_5V_GPU 39/56 POM_5V_CPU 157/486 | [Container1: 2025-03-16 14:54:37 Container1 PerfStat: 79.107160622      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:38 Container2 PerfStat: 80.110420633      <not counted>      cache-misses] 
2025-03-16 14:54:39 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:40 TegraStats: RAM 1886/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,10%@102,6%@102,7%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.75C POM_5V_IN 1141/1771 POM_5V_GPU 39/57 POM_5V_CPU 157/479 | [Container1: 2025-03-16 14:54:40 Container1 PerfStat: 82.108669362      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:40 Container2 PerfStat: 82.114499599      <not counted>      cache-misses] 
2025-03-16 14:54:41 | 27c8c798045e c8247751770e | [Container1: 27c8c798045e	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: c8247751770e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:54:42 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 49/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,8%@102,6%@102,6%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33C thermal@28.25C POM_5V_IN 1141/1758 POM_5V_GPU 0/57 POM_5V_CPU 196/473 | [Container1: 2025-03-16 14:54:42 Container1 PerfStat: 84.110397640      <not counted>      cache-misses] [Container2: 2025-03-16 14:54:42 Container2 PerfStat: 84.117476893      <not counted>      cache-misses] 
