Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 15:01:42 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:43 TegraStats: RAM 2012/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,9%@204,11%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1259/2004 POM_5V_GPU 78/64 POM_5V_CPU 236/641 | [Container1: 2025-03-16 15:01:43 Container1 PerfStat: 44.035129596      <not counted>      cache-references] [Container2: 2025-03-16 15:01:43 Container2 PerfStat: 44.032591147      <not counted>      cache-misses] 
2025-03-16 15:01:44 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:45 TegraStats: RAM 2014/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@403,16%@204,11%@204,9%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@34C thermal@28.5C POM_5V_IN 1723/1982 POM_5V_GPU 39/63 POM_5V_CPU 352/628 | [Container1: 2025-03-16 15:01:45 Container1 PerfStat: 46.040468621      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:45 Container2 PerfStat: 46.036550164      <not counted>      cache-misses] 
2025-03-16 15:01:47 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:47 TegraStats: RAM 2003/3964MB (lfb 99x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@518,11%@518,8%@518,6%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1220/1953 POM_5V_GPU 39/62 POM_5V_CPU 275/613 | [Container1: 2025-03-16 15:01:47 Container1 PerfStat: 48.044375190      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:47 Container2 PerfStat: 48.041218456      <not counted>      cache-misses] 
2025-03-16 15:01:49 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:49 TegraStats: RAM 2013/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,8%@204,4%@204,10%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1296/1933 POM_5V_GPU 39/63 POM_5V_CPU 157/598 | [Container1: 2025-03-16 15:01:49 Container1 PerfStat: 50.047152848      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:50 Container2 PerfStat: 51.045116582      <not counted>      cache-misses] 
2025-03-16 15:01:51 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:51 TegraStats: RAM 2014/3964MB (lfb 97x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,9%@204,12%@204,6%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1102/1909 POM_5V_GPU 39/63 POM_5V_CPU 157/584 | [Container1: 2025-03-16 15:01:51 Container1 PerfStat: 52.048334248      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:52 Container2 PerfStat: 53.048642369      <not counted>      cache-misses] 
2025-03-16 15:01:53 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:53 TegraStats: RAM 2014/3964MB (lfb 97x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,10%@204,9%@204,4%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1220/1885 POM_5V_GPU 39/63 POM_5V_CPU 196/571 | [Container1: 2025-03-16 15:01:53 Container1 PerfStat: 54.051074875      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:54 Container2 PerfStat: 55.051717528      <not counted>      cache-misses] 
2025-03-16 15:01:55 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:56 TegraStats: RAM 2013/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,8%@204,8%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1141/1881 POM_5V_GPU 39/62 POM_5V_CPU 157/563 | [Container1: 2025-03-16 15:01:55 Container1 PerfStat: 56.053418312      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:56 Container2 PerfStat: 57.053764818      <not counted>      cache-misses] 
2025-03-16 15:01:58 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:01:58 TegraStats: RAM 1901/3964MB (lfb 98x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,8%@204,14%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@29C AO@33.5C thermal@28.5C POM_5V_IN 1103/1858 POM_5V_GPU 39/61 POM_5V_CPU 157/551 | [Container1: 2025-03-16 15:01:58 Container1 PerfStat: 59.060448224      <not counted>      cache-misses] [Container2: 2025-03-16 15:01:58 Container2 PerfStat: 59.056690445      <not counted>      cache-misses] 
2025-03-16 15:02:00 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:02:01 TegraStats: RAM 1905/3964MB (lfb 100x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,16%@102,16%@204,21%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1220/1838 POM_5V_GPU 39/61 POM_5V_CPU 196/541 | [Container1: 2025-03-16 15:02:00 Container1 PerfStat: 61.067202672      <not counted>      cache-misses] [Container2: 2025-03-16 15:02:00 Container2 PerfStat: 61.060419305      <not counted>      cache-misses] 
2025-03-16 15:02:02 | 3f46dcb18b65 ed7f27d2dc0a | [Container1: 3f46dcb18b65	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: ed7f27d2dc0a	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 15:02:03 TegraStats: RAM 1902/3964MB (lfb 100x4MB) SWAP 55/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,10%@204,8%@204,9%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1296/1828 POM_5V_GPU 39/61 POM_5V_CPU 235/532 | [Container1: 2025-03-16 15:02:02 Container1 PerfStat: 63.070727208      <not counted>      cache-misses] [Container2: 2025-03-16 15:02:03 Container2 PerfStat: 64.066511140      <not counted>      cache-misses] 
