Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:56:25 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.26%	60.09MiB / 128MiB	13.5MB / 8.21MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:27 TegraStats: RAM 2071/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@307,18%@307,14%@307,17%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.25C POM_5V_IN 1490/1982 POM_5V_GPU 39/55 POM_5V_CPU 274/598 | [Container1: 2025-03-16 14:56:25 Container1 PerfStat: 47.053718054          1 593 456      cache-misses              #    2,704 % of all cache refs] [Container2: 2025-03-16 14:56:26 Container2 PerfStat: 48.049809957      <not counted>      cache-misses] 
2025-03-16 14:56:28 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.44%	60.11MiB / 128MiB	14.5MB / 9.39MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:30 TegraStats: RAM 2069/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@403,23%@403,22%@403,20%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.75C POM_5V_IN 1991/1962 POM_5V_GPU 39/55 POM_5V_CPU 468/586 | [Container1: 2025-03-16 14:56:29 Container1 PerfStat: 51.056443200          2 086 498      cache-misses              #    3,622 % of all cache refs] [Container2: 2025-03-16 14:56:29 Container2 PerfStat: 51.053443238      <not counted>      cache-misses] 
2025-03-16 14:56:31 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.52%	60.48MiB / 128MiB	15.7MB / 10.5MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:33 TegraStats: RAM 2060/3964MB (lfb 96x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@403,12%@403,15%@403,6%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.75C POM_5V_IN 1451/1942 POM_5V_GPU 39/55 POM_5V_CPU 313/574 | [Container1: 2025-03-16 14:56:32 Container1 PerfStat: 54.058710276          1 358 450      cache-misses              #    2,385 % of all cache refs] [Container2: 2025-03-16 14:56:32 Container2 PerfStat: 54.055895159      <not counted>      cache-misses] 
2025-03-16 14:56:34 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.22%	60.7MiB / 128MiB	16.3MB / 11.2MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:36 TegraStats: RAM 2070/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@204,13%@204,13%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1220/1916 POM_5V_GPU 39/56 POM_5V_CPU 196/559 | [Container1: 2025-03-16 14:56:35 Container1 PerfStat: 57.060569955          1 310 970      cache-misses              #    2,342 % of all cache refs] [Container2: 2025-03-16 14:56:36 Container2 PerfStat: 58.057614831      <not counted>      cache-misses] 
2025-03-16 14:56:37 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	25.37%	60.46MiB / 128MiB	17.4MB / 12.3MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:39 TegraStats: RAM 2068/3964MB (lfb 95x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@614,15%@614,14%@614,12%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1414/1892 POM_5V_GPU 39/55 POM_5V_CPU 275/548 | [Container1: 2025-03-16 14:56:38 Container1 PerfStat: 60.062738854          1 448 279      cache-misses              #    2,631 % of all cache refs] [Container2: 2025-03-16 14:56:39 Container2 PerfStat: 61.060748995      <not counted>      cache-misses] 
2025-03-16 14:56:41 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.68%	61.62MiB / 128MiB	18MB / 13.4MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:42 TegraStats: RAM 2070/3964MB (lfb 95x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,13%@204,13%@204,14%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@29.5C AO@33.5C thermal@28.25C POM_5V_IN 1296/1874 POM_5V_GPU 39/54 POM_5V_CPU 235/536 | [Container1: 2025-03-16 14:56:41 Container1 PerfStat: 63.066242551          1 165 057      cache-misses              #    2,147 % of all cache refs] [Container2: 2025-03-16 14:56:42 Container2 PerfStat: 64.062541798      <not counted>      cache-misses] 
2025-03-16 14:56:44 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	28.08%	62.35MiB / 128MiB	19.7MB / 14.6MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:46 TegraStats: RAM 2071/3964MB (lfb 95x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,17%@1479,14%@1479,15%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1759/1875 POM_5V_GPU 39/55 POM_5V_CPU 625/541 | [Container1: 2025-03-16 14:56:45 Container1 PerfStat: 67.068207224          1 065 024      cache-misses              #    1,999 % of all cache refs] [Container2: 2025-03-16 14:56:45 Container2 PerfStat: 67.063623140      <not counted>      cache-misses] 
2025-03-16 14:56:47 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	24.88%	62.28MiB / 128MiB	20.3MB / 15.4MB	16.6MB / 0B	26] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:49 TegraStats: RAM 2072/3964MB (lfb 94x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,16%@204,12%@204,14%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.75C POM_5V_IN 1259/1862 POM_5V_GPU 39/56 POM_5V_CPU 236/533 | [Container1: 2025-03-16 14:56:48 Container1 PerfStat: 70.070116226          1 461 681      cache-misses              #    2,773 % of all cache refs] [Container2: 2025-03-16 14:56:48 Container2 PerfStat: 70.065167192      <not counted>      cache-misses] 
2025-03-16 14:56:50 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:52 TegraStats: RAM 2008/3964MB (lfb 96x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,9%@204,9%@204,9%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1336/1850 POM_5V_GPU 39/56 POM_5V_CPU 275/526 | [Container1: 2025-03-16 14:56:51 Container1 PerfStat: 73.072138145            137 728      cache-misses              #    0,265 % of all cache refs] [Container2: 2025-03-16 14:56:51 Container2 PerfStat: 73.066899058      <not counted>      cache-misses] 
2025-03-16 14:56:53 | 71ecee44f7a0 aa33e018c7b5 | [Container1: 71ecee44f7a0	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: aa33e018c7b5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:56:54 TegraStats: RAM 2009/3964MB (lfb 96x4MB) SWAP 51/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,11%@307,9%@307,11%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@29C AO@33.5C thermal@28C POM_5V_IN 1605/1842 POM_5V_GPU 0/56 POM_5V_CPU 392/521 | [Container1: 2025-03-16 14:56:53 Container1 PerfStat: 75.074336686      <not counted>      cache-misses] [Container2: 2025-03-16 14:56:54 Container2 PerfStat: 76.068739934      <not counted>      cache-misses] 
