Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:46:26 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:26 TegraStats: RAM 2003/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,14%@204,5%@204,8%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1180/1928 POM_5V_GPU 39/59 POM_5V_CPU 196/582 | [Container1: 2025-03-16 14:46:26 Container1 PerfStat: 45.051022272      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:27 Container2 PerfStat: 46.046909537      <not counted>      cache-misses] 
2025-03-16 14:46:28 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:28 TegraStats: RAM 2002/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@403,13%@403,22%@403,10%@403] EMC_FREQ 1%@1600 GR3D_FREQ 7%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1336/1903 POM_5V_GPU 78/59 POM_5V_CPU 274/569 | [Container1: 2025-03-16 14:46:28 Container1 PerfStat: 47.054531912      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:29 Container2 PerfStat: 48.050434125      <not counted>      cache-misses] 
2025-03-16 14:46:30 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:31 TegraStats: RAM 2004/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,10%@102,6%@204,8%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@27.75C POM_5V_IN 1141/1885 POM_5V_GPU 39/60 POM_5V_CPU 157/558 | [Container1: 2025-03-16 14:46:30 Container1 PerfStat: 49.059162079      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:31 Container2 PerfStat: 50.054663926      <not counted>      cache-misses] 
2025-03-16 14:46:32 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:33 TegraStats: RAM 2000/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,8%@204,11%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1102/1859 POM_5V_GPU 39/59 POM_5V_CPU 157/544 | [Container1: 2025-03-16 14:46:33 Container1 PerfStat: 52.067556477      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:33 Container2 PerfStat: 52.063182028      <not counted>      cache-misses] 
2025-03-16 14:46:35 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:35 TegraStats: RAM 2002/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,9%@204,12%@204,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1141/1837 POM_5V_GPU 39/59 POM_5V_CPU 196/532 | [Container1: 2025-03-16 14:46:35 Container1 PerfStat: 54.071298566      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:35 Container2 PerfStat: 54.067416880      <not counted>      cache-misses] 
2025-03-16 14:46:37 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:38 TegraStats: RAM 2002/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,8%@307,15%@307,6%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.25C POM_5V_IN 1645/1823 POM_5V_GPU 39/59 POM_5V_CPU 313/523 | [Container1: 2025-03-16 14:46:37 Container1 PerfStat: 56.074182110      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:37 Container2 PerfStat: 56.070443237      <not counted>      cache-misses] 
2025-03-16 14:46:39 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:40 TegraStats: RAM 1999/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,8%@1479,7%@1479,9%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28.5C POM_5V_IN 1645/1810 POM_5V_GPU 39/58 POM_5V_CPU 509/517 | [Container1: 2025-03-16 14:46:39 Container1 PerfStat: 58.075741897      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:40 Container2 PerfStat: 59.072232030      <not counted>      cache-misses] 
2025-03-16 14:46:41 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:42 TegraStats: RAM 2004/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,7%@307,10%@307,6%@307] EMC_FREQ 9%@204 GR3D_FREQ 40%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1490/1796 POM_5V_GPU 156/60 POM_5V_CPU 235/508 | [Container1: 2025-03-16 14:46:41 Container1 PerfStat: 60.077884865      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:42 Container2 PerfStat: 61.074948698      <not counted>      cache-misses] 
2025-03-16 14:46:43 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:44 TegraStats: RAM 2001/3964MB (lfb 96x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,6%@204,9%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 42%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1451/1781 POM_5V_GPU 157/61 POM_5V_CPU 235/499 | [Container1: 2025-03-16 14:46:43 Container1 PerfStat: 62.080329969      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:44 Container2 PerfStat: 63.076474892      <not counted>      cache-misses] 
2025-03-16 14:46:45 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:46 TegraStats: RAM 1894/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,7%@204,7%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1259/1764 POM_5V_GPU 39/60 POM_5V_CPU 236/490 | [Container1: 2025-03-16 14:46:46 Container1 PerfStat: 65.085238204      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:46 Container2 PerfStat: 65.079927969      <not counted>      cache-misses] 
2025-03-16 14:46:48 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:49 TegraStats: RAM 1895/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,17%@102,11%@102,16%@102] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1220/1754 POM_5V_GPU 39/60 POM_5V_CPU 196/484 | [Container1: 2025-03-16 14:46:48 Container1 PerfStat: 67.093989536      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:48 Container2 PerfStat: 67.085387046      <not counted>      cache-misses] 
2025-03-16 14:46:50 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:51 TegraStats: RAM 1894/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@403,11%@403,11%@403,8%@403] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1180/1738 POM_5V_GPU 39/60 POM_5V_CPU 235/477 | [Container1: 2025-03-16 14:46:50 Container1 PerfStat: 69.098994913      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:50 Container2 PerfStat: 69.089985182      <not counted>      cache-misses] 
2025-03-16 14:46:52 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:53 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,10%@102,11%@102,14%@102] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1102/1735 POM_5V_GPU 39/58 POM_5V_CPU 157/474 | [Container1: 2025-03-16 14:46:53 Container1 PerfStat: 72.103532001      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:53 Container2 PerfStat: 72.094155549      <not counted>      cache-misses] 
2025-03-16 14:46:55 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:56 TegraStats: RAM 1873/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,10%@1479,7%@1479,17%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@27.75C POM_5V_IN 1759/1748 POM_5V_GPU 39/59 POM_5V_CPU 351/475 | [Container1: 2025-03-16 14:46:55 Container1 PerfStat: 74.105211268      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:56 Container2 PerfStat: 75.096493824      <not counted>      cache-misses] 
2025-03-16 14:46:57 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:46:58 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,6%@204,5%@204,11%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28.5C AO@33.5C thermal@28.25C POM_5V_IN 1064/1736 POM_5V_GPU 0/59 POM_5V_CPU 196/469 | [Container1: 2025-03-16 14:46:58 Container1 PerfStat: 77.109495802      <not counted>      cache-misses] [Container2: 2025-03-16 14:46:58 Container2 PerfStat: 77.100580133      <not counted>      cache-misses] 
2025-03-16 14:47:00 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:47:00 TegraStats: RAM 1899/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,14%@307,13%@307,21%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 2182/1744 POM_5V_GPU 38/59 POM_5V_CPU 350/464 | [Container1: 2025-03-16 14:47:00 Container1 PerfStat: 79.111586842      <not counted>      cache-misses] [Container2: 2025-03-16 14:47:00 Container2 PerfStat: 79.102837528      <not counted>      cache-misses] 
2025-03-16 14:47:02 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:47:02 TegraStats: RAM 1883/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,11%@204,7%@204,5%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1259/1738 POM_5V_GPU 39/59 POM_5V_CPU 196/460 | [Container1: 2025-03-16 14:47:02 Container1 PerfStat: 81.113438245      <not counted>      cache-misses] [Container2: 2025-03-16 14:47:02 Container2 PerfStat: 81.105944719      <not counted>      cache-misses] 
2025-03-16 14:47:04 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:47:05 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@614,10%@710,8%@710,9%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33C thermal@27.75C POM_5V_IN 1605/1737 POM_5V_GPU 39/58 POM_5V_CPU 470/463 | [Container1: 2025-03-16 14:47:04 Container1 PerfStat: 83.115586890      <not counted>      cache-misses] [Container2: 2025-03-16 14:47:05 Container2 PerfStat: 84.109862793      <not counted>      cache-misses] 
2025-03-16 14:47:06 | 3b78caa7e111 9979d54f68e5 | [Container1: 3b78caa7e111	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9979d54f68e5	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:47:07 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 45/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,17%@307,8%@307,7%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1645/1734 POM_5V_GPU 39/58 POM_5V_CPU 352/461 | [Container1: 2025-03-16 14:47:06 Container1 PerfStat: 85.122740506      <not counted>      cache-misses] [Container2: 2025-03-16 14:47:07 Container2 PerfStat: 86.116747346      <not counted>      cache-misses] 
