Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:43:29 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:30 TegraStats: RAM 1999/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,8%@204,12%@204,8%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1569/1943 POM_5V_GPU 39/61 POM_5V_CPU 391/644 | [Container1: 2025-03-16 14:43:30 Container1 PerfStat: 46.058985586      <not counted>      cache-references] [Container2: 2025-03-16 14:43:30 Container2 PerfStat: 46.038549862      <not counted>      cache-misses] 
2025-03-16 14:43:31 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:32 TegraStats: RAM 1996/3964MB (lfb 97x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,13%@518,10%@518,8%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28C POM_5V_IN 1952/1934 POM_5V_GPU 0/61 POM_5V_CPU 585/639 | [Container1: 2025-03-16 14:43:32 Container1 PerfStat: 48.064374454      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:32 Container2 PerfStat: 48.043942793      <not counted>      cache-misses] 
2025-03-16 14:43:34 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:34 TegraStats: RAM 2000/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,7%@307,8%@307,6%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1259/1910 POM_5V_GPU 39/60 POM_5V_CPU 353/629 | [Container1: 2025-03-16 14:43:34 Container1 PerfStat: 50.070180564      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:34 Container2 PerfStat: 50.049561037      <not counted>      cache-misses] 
2025-03-16 14:43:36 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:36 TegraStats: RAM 1999/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@614,7%@614,7%@614,14%@614] EMC_FREQ 1%@1600 GR3D_FREQ 4%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1412/1892 POM_5V_GPU 117/61 POM_5V_CPU 430/621 | [Container1: 2025-03-16 14:43:36 Container1 PerfStat: 52.074068436      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:37 Container2 PerfStat: 53.056494959      <not counted>      cache-misses] 
2025-03-16 14:43:38 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:38 TegraStats: RAM 1998/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@403,11%@518,7%@518,5%@518] EMC_FREQ 9%@204 GR3D_FREQ 88%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1723/1880 POM_5V_GPU 195/63 POM_5V_CPU 507/615 | [Container1: 2025-03-16 14:43:38 Container1 PerfStat: 54.078661988      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:39 Container2 PerfStat: 55.064011650      <not counted>      cache-misses] 
2025-03-16 14:43:40 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:40 TegraStats: RAM 1998/3964MB (lfb 97x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,12%@307,10%@307,8%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1605/1866 POM_5V_GPU 39/62 POM_5V_CPU 469/608 | [Container1: 2025-03-16 14:43:40 Container1 PerfStat: 56.084146742      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:41 Container2 PerfStat: 57.069296560      <not counted>      cache-misses] 
2025-03-16 14:43:42 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:43 TegraStats: RAM 1998/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,12%@307,15%@307,14%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@28C PMIC@50C GPU@28C AO@33C thermal@28.25C POM_5V_IN 1180/1846 POM_5V_GPU 39/63 POM_5V_CPU 314/599 | [Container1: 2025-03-16 14:43:43 Container1 PerfStat: 59.089612063      <not counted>      cycles] [Container2: 2025-03-16 14:43:43 Container2 PerfStat: 59.073341307      <not counted>      cache-misses] 
2025-03-16 14:43:44 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:45 TegraStats: RAM 1999/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,11%@204,14%@307,10%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1180/1828 POM_5V_GPU 39/63 POM_5V_CPU 313/592 | [Container1: 2025-03-16 14:43:45 Container1 PerfStat: 61.094523325      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:45 Container2 PerfStat: 61.078073193      <not counted>      cache-misses] 
2025-03-16 14:43:47 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:47 TegraStats: RAM 2000/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,14%@204,11%@307,8%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1375/1812 POM_5V_GPU 39/62 POM_5V_CPU 391/585 | [Container1: 2025-03-16 14:43:47 Container1 PerfStat: 63.098917657      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:47 Container2 PerfStat: 63.082200493      <not counted>      cache-misses] 
2025-03-16 14:43:49 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:49 TegraStats: RAM 2001/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@1224,5%@1224,9%@1224,9%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 2143/1808 POM_5V_GPU 38/62 POM_5V_CPU 818/585 | [Container1: 2025-03-16 14:43:49 Container1 PerfStat: 65.102010889      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:50 Container2 PerfStat: 66.087041748      <not counted>      cache-misses] 
2025-03-16 14:43:51 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:51 TegraStats: RAM 1997/3964MB (lfb 97x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@825,6%@825,10%@710,8%@710] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1414/1795 POM_5V_GPU 117/63 POM_5V_CPU 430/579 | [Container1: 2025-03-16 14:43:51 Container1 PerfStat: 67.106860641      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:52 Container2 PerfStat: 68.092228637      <not counted>      cache-misses] 
2025-03-16 14:43:53 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:53 TegraStats: RAM 1996/3964MB (lfb 97x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,14%@307,15%@307,12%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1180/1779 POM_5V_GPU 39/62 POM_5V_CPU 313/572 | [Container1: 2025-03-16 14:43:53 Container1 PerfStat: 69.110333094      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:54 Container2 PerfStat: 70.102388049      <not counted>      cache-misses] 
2025-03-16 14:43:55 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:55 TegraStats: RAM 2001/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,9%@307,13%@307,10%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1530/1768 POM_5V_GPU 117/62 POM_5V_CPU 391/567 | [Container1: 2025-03-16 14:43:56 Container1 PerfStat: 72.122623291      <not counted>      instructions] [Container2: 2025-03-16 14:43:56 Container2 PerfStat: 72.106896861      <not counted>      cache-misses] 
2025-03-16 14:43:57 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:43:58 TegraStats: RAM 2000/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,7%@307,7%@307,11%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1257/1766 POM_5V_GPU 39/62 POM_5V_CPU 313/566 | [Container1: 2025-03-16 14:43:58 Container1 PerfStat: 74.126463038      <not counted>      cache-misses] [Container2: 2025-03-16 14:43:58 Container2 PerfStat: 74.110040719      <not counted>      cache-misses] 
2025-03-16 14:44:00 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:44:01 TegraStats: RAM 2002/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,12%@307,10%@307,12%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1141/1752 POM_5V_GPU 39/61 POM_5V_CPU 313/560 | [Container1: 2025-03-16 14:44:00 Container1 PerfStat: 76.129288821      <not counted>      cache-misses] [Container2: 2025-03-16 14:44:00 Container2 PerfStat: 76.120205027      <not counted>      cache-misses] 
2025-03-16 14:44:02 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:44:03 TegraStats: RAM 2000/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,10%@307,6%@307,10%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@28C POM_5V_IN 1257/1754 POM_5V_GPU 39/61 POM_5V_CPU 353/563 | [Container1: 2025-03-16 14:44:02 Container1 PerfStat: 78.131140953      <not counted>      cache-misses] [Container2: 2025-03-16 14:44:03 Container2 PerfStat: 79.124052007      <not counted>      cache-misses] 
2025-03-16 14:44:04 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:44:05 TegraStats: RAM 1998/3964MB (lfb 96x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@614,9%@614,13%@614,7%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 2030/1751 POM_5V_GPU 38/61 POM_5V_CPU 623/561 | [Container1: 2025-03-16 14:44:04 Container1 PerfStat: 80.135424348      <not counted>      cache-misses] [Container2: 2025-03-16 14:44:05 Container2 PerfStat: 81.126451954      <not counted>      cache-misses] 
2025-03-16 14:44:06 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:44:07 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,8%@307,8%@307,7%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1180/1746 POM_5V_GPU 39/61 POM_5V_CPU 313/558 | [Container1: 2025-03-16 14:44:06 Container1 PerfStat: 82.140383630      <not counted>      cache-misses] [Container2: 2025-03-16 14:44:07 Container2 PerfStat: 83.129382530      <not counted>      cache-misses] 
2025-03-16 14:44:08 | d7e89ba66e80 9ac75a13ea30 | [Container1: d7e89ba66e80	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 9ac75a13ea30	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:44:09 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 43/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,12%@307,7%@307,9%@307] EMC_FREQ 9%@204 GR3D_FREQ 85%@153 APE 25 PLL@26C CPU@28.5C PMIC@50C GPU@27.5C AO@33C thermal@27.75C POM_5V_IN 1605/1737 POM_5V_GPU 195/62 POM_5V_CPU 391/554 | [Container1: 2025-03-16 14:44:09 Container1 PerfStat: 85.146192443      <not counted>      cycles] [Container2: 2025-03-16 14:44:09 Container2 PerfStat: 85.131736696      <not counted>      cache-misses] 
