Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:51:09 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:09 TegraStats: RAM 2017/3964MB (lfb 95x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,13%@204,9%@204,7%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1375/1933 POM_5V_GPU 39/57 POM_5V_CPU 235/570 | [Container1: 2025-03-16 14:51:09 Container1 PerfStat: 43.052253123      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:09 Container2 PerfStat: 43.045629028      <not counted>      cache-misses] 
2025-03-16 14:51:11 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:11 TegraStats: RAM 1900/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@614,12%@614,17%@614,7%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2373/1926 POM_5V_GPU 116/58 POM_5V_CPU 778/567 | [Container1: 2025-03-16 14:51:11 Container1 PerfStat: 45.055164792      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:11 Container2 PerfStat: 45.050141538      <not counted>      cache-misses] 
2025-03-16 14:51:13 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:13 TegraStats: RAM 1902/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,8%@204,9%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1375/1903 POM_5V_GPU 157/59 POM_5V_CPU 235/555 | [Container1: 2025-03-16 14:51:13 Container1 PerfStat: 47.059054382      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:13 Container2 PerfStat: 47.057409165      <not counted>      cache-misses] 
2025-03-16 14:51:15 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:15 TegraStats: RAM 1899/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,8%@204,6%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1141/1876 POM_5V_GPU 39/58 POM_5V_CPU 196/542 | [Container1: 2025-03-16 14:51:15 Container1 PerfStat: 49.061657247      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:16 Container2 PerfStat: 50.062677038      <not counted>      cache-misses] 
2025-03-16 14:51:17 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:17 TegraStats: RAM 1899/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,9%@204,7%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1220/1853 POM_5V_GPU 39/57 POM_5V_CPU 196/531 | [Container1: 2025-03-16 14:51:17 Container1 PerfStat: 51.067323982      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:18 Container2 PerfStat: 52.066644389      <not counted>      cache-misses] 
2025-03-16 14:51:19 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:21 TegraStats: RAM 1900/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,10%@204,9%@204,6%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.25C POM_5V_IN 1490/1838 POM_5V_GPU 156/59 POM_5V_CPU 274/521 | [Container1: 2025-03-16 14:51:19 Container1 PerfStat: 53.070942060      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:20 Container2 PerfStat: 54.069954341      <not counted>      cache-misses] 
2025-03-16 14:51:22 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:23 TegraStats: RAM 1884/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@102,13%@102,13%@102,20%@102] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1102/1842 POM_5V_GPU 39/58 POM_5V_CPU 157/527 | [Container1: 2025-03-16 14:51:22 Container1 PerfStat: 56.076422902      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:23 Container2 PerfStat: 57.076372635      <not counted>      cache-misses] 
2025-03-16 14:51:24 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:26 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@614,17%@614,12%@614,15%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 2069/1852 POM_5V_GPU 39/58 POM_5V_CPU 507/524 | [Container1: 2025-03-16 14:51:25 Container1 PerfStat: 59.083101927      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:26 Container2 PerfStat: 60.085328286      <not counted>      instructions] 
2025-03-16 14:51:27 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:28 TegraStats: RAM 1884/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,9%@204,5%@204,8%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1102/1833 POM_5V_GPU 39/59 POM_5V_CPU 157/514 | [Container1: 2025-03-16 14:51:27 Container1 PerfStat: 61.089091475      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:28 Container2 PerfStat: 62.090497986      <not counted>      cache-misses] 
2025-03-16 14:51:29 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:30 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,19%@307,15%@307,14%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1952/1840 POM_5V_GPU 39/59 POM_5V_CPU 391/511 | [Container1: 2025-03-16 14:51:29 Container1 PerfStat: 63.092428303      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:30 Container2 PerfStat: 64.092881007      <not counted>      cache-misses] 
2025-03-16 14:51:31 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:32 TegraStats: RAM 1884/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,10%@102,6%@102,4%@102] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1102/1821 POM_5V_GPU 39/59 POM_5V_CPU 157/502 | [Container1: 2025-03-16 14:51:31 Container1 PerfStat: 65.096784562      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:32 Container2 PerfStat: 66.097329923      <not counted>      cache-misses] 
2025-03-16 14:51:34 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:34 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,13%@204,9%@204,7%@204] EMC_FREQ 1%@1600 GR3D_FREQ 9%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1605/1810 POM_5V_GPU 156/60 POM_5V_CPU 235/494 | [Container1: 2025-03-16 14:51:34 Container1 PerfStat: 68.104616874      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:34 Container2 PerfStat: 68.102421915      <not counted>      cache-misses] 
2025-03-16 14:51:36 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:37 TegraStats: RAM 1875/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,13%@102,8%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1102/1794 POM_5V_GPU 39/59 POM_5V_CPU 196/486 | [Container1: 2025-03-16 14:51:36 Container1 PerfStat: 70.110572203      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:36 Container2 PerfStat: 70.108271567      <not counted>      cache-misses] 
2025-03-16 14:51:38 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:39 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,12%@102,9%@102,10%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1102/1778 POM_5V_GPU 39/59 POM_5V_CPU 235/479 | [Container1: 2025-03-16 14:51:38 Container1 PerfStat: 72.115561174      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:38 Container2 PerfStat: 72.113253870      <not counted>      cache-misses] 
2025-03-16 14:51:40 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:41 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,13%@307,7%@307,11%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.75C POM_5V_IN 1220/1784 POM_5V_GPU 39/59 POM_5V_CPU 392/489 | [Container1: 2025-03-16 14:51:40 Container1 PerfStat: 74.118052268      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:41 Container2 PerfStat: 75.116527306      <not counted>      cache-misses] 
2025-03-16 14:51:42 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:43 TegraStats: RAM 1889/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,10%@614,13%@614,14%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1605/1782 POM_5V_GPU 39/59 POM_5V_CPU 508/491 | [Container1: 2025-03-16 14:51:42 Container1 PerfStat: 76.121852691      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:43 Container2 PerfStat: 77.121323359      <not counted>      cache-misses] 
2025-03-16 14:51:44 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:45 TegraStats: RAM 1882/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@1326,10%@1326,8%@1326,10%@1326] EMC_FREQ 1%@1600 GR3D_FREQ 56%@153 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1991/1779 POM_5V_GPU 194/60 POM_5V_CPU 623/491 | [Container1: 2025-03-16 14:51:44 Container1 PerfStat: 78.127375883      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:45 Container2 PerfStat: 79.124237424      <not counted>      cache-misses] 
2025-03-16 14:51:47 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:47 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,11%@307,7%@518,9%@518] EMC_FREQ 1%@1600 GR3D_FREQ 99%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1566/1772 POM_5V_GPU 195/61 POM_5V_CPU 391/488 | [Container1: 2025-03-16 14:51:47 Container1 PerfStat: 81.132203024      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:47 Container2 PerfStat: 81.126340599      <not counted>      cache-misses] 
2025-03-16 14:51:49 | c2ad9ccda997 e2265d5f66f7 | [Container1: c2ad9ccda997	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: e2265d5f66f7	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:51:49 TegraStats: RAM 1885/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,10%@204,7%@204,5%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1336/1763 POM_5V_GPU 39/61 POM_5V_CPU 392/486 | [Container1: 2025-03-16 14:51:49 Container1 PerfStat: 83.134045208      <not counted>      cache-misses] [Container2: 2025-03-16 14:51:49 Container2 PerfStat: 83.127957783      <not counted>      cache-misses] 
