Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:36:08 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:09 TegraStats: RAM 2017/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,12%@204,11%@307,10%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1801/1948 POM_5V_GPU 39/65 POM_5V_CPU 391/575 | [Container1: 2025-03-16 14:36:08 Container1 PerfStat: 42.047413522      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:09 Container2 PerfStat: 43.043704540      <not counted>      cache-misses] 
2025-03-16 14:36:11 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:12 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,11%@204,5%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1141/1911 POM_5V_GPU 39/65 POM_5V_CPU 157/556 | [Container1: 2025-03-16 14:36:10 Container1 PerfStat: 44.053400883      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:11 Container2 PerfStat: 45.047458088      <not counted>      cache-misses] 
2025-03-16 14:36:13 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:14 TegraStats: RAM 2015/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,16%@102,7%@102,8%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1141/1896 POM_5V_GPU 39/66 POM_5V_CPU 196/550 | [Container1: 2025-03-16 14:36:13 Container1 PerfStat: 47.059761313      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:13 Container2 PerfStat: 47.052678153      <not counted>      cache-misses] 
2025-03-16 14:36:15 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:16 TegraStats: RAM 2021/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@1479,14%@1479,14%@1479,10%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 2525/1893 POM_5V_GPU 38/65 POM_5V_CPU 1087/553 | [Container1: 2025-03-16 14:36:15 Container1 PerfStat: 49.066576542      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:15 Container2 PerfStat: 49.058656556      <not counted>      cache-misses] 
2025-03-16 14:36:17 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:18 TegraStats: RAM 2013/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@825,13%@825,11%@825,9%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1837/1881 POM_5V_GPU 39/65 POM_5V_CPU 468/545 | [Container1: 2025-03-16 14:36:17 Container1 PerfStat: 51.071356449      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:17 Container2 PerfStat: 51.063667349      <not counted>      cache-misses] 
2025-03-16 14:36:19 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:20 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,7%@102,7%@102,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@28C POM_5V_IN 1220/1863 POM_5V_GPU 39/64 POM_5V_CPU 235/536 | [Container1: 2025-03-16 14:36:19 Container1 PerfStat: 53.073428374      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:20 Container2 PerfStat: 54.067149015      <not counted>      cache-misses] 
2025-03-16 14:36:21 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:22 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,12%@102,8%@102,6%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.75C POM_5V_IN 1102/1841 POM_5V_GPU 39/63 POM_5V_CPU 157/525 | [Container1: 2025-03-16 14:36:21 Container1 PerfStat: 55.077508695      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:22 Container2 PerfStat: 56.071530795      <not counted>      cache-misses] 
2025-03-16 14:36:24 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:24 TegraStats: RAM 2015/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,8%@204,9%@204,11%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.75C POM_5V_IN 1296/1824 POM_5V_GPU 78/63 POM_5V_CPU 196/516 | [Container1: 2025-03-16 14:36:23 Container1 PerfStat: 57.081441150      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:24 Container2 PerfStat: 58.074298870      <not counted>      cache-misses] 
2025-03-16 14:36:26 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:27 TegraStats: RAM 2017/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,15%@204,9%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@28.25C POM_5V_IN 1103/1812 POM_5V_GPU 39/62 POM_5V_CPU 157/513 | [Container1: 2025-03-16 14:36:26 Container1 PerfStat: 60.085759695      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:26 Container2 PerfStat: 60.077711218      <not counted>      cache-misses] 
2025-03-16 14:36:28 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:29 TegraStats: RAM 2016/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,11%@204,11%@204,8%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1103/1794 POM_5V_GPU 39/62 POM_5V_CPU 157/503 | [Container1: 2025-03-16 14:36:28 Container1 PerfStat: 62.091927785      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:28 Container2 PerfStat: 62.083730037      <not counted>      cache-misses] 
2025-03-16 14:36:30 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:31 TegraStats: RAM 2014/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@710,7%@710,14%@710,9%@710] EMC_FREQ 1%@1600 GR3D_FREQ 7%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.25C POM_5V_IN 1296/1778 POM_5V_GPU 117/62 POM_5V_CPU 235/495 | [Container1: 2025-03-16 14:36:30 Container1 PerfStat: 64.097451550      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:31 Container2 PerfStat: 65.091861101      <not counted>      cache-misses] 
2025-03-16 14:36:32 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:33 TegraStats: RAM 2022/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@614,13%@614,10%@614,12%@614] EMC_FREQ 1%@1600 GR3D_FREQ 99%@230 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1916/1772 POM_5V_GPU 156/63 POM_5V_CPU 430/490 | [Container1: 2025-03-16 14:36:32 Container1 PerfStat: 66.103457765      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:33 Container2 PerfStat: 67.101868741      <not counted>      cache-misses] 
2025-03-16 14:36:34 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:35 TegraStats: RAM 2011/3964MB (lfb 95x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,8%@102,7%@102,11%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.25C POM_5V_IN 1103/1755 POM_5V_GPU 39/62 POM_5V_CPU 157/482 | [Container1: 2025-03-16 14:36:34 Container1 PerfStat: 68.109498564      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:35 Container2 PerfStat: 69.106928285      <not counted>      cache-misses] 
2025-03-16 14:36:37 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:37 TegraStats: RAM 2021/3964MB (lfb 93x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,12%@102,10%@102,12%@102] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.25C POM_5V_IN 1180/1741 POM_5V_GPU 78/62 POM_5V_CPU 157/474 | [Container1: 2025-03-16 14:36:36 Container1 PerfStat: 70.113866125      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:37 Container2 PerfStat: 71.107911976      <not counted>      cache-misses] 
2025-03-16 14:36:39 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:39 TegraStats: RAM 2018/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,11%@102,7%@102,7%@102] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.5C POM_5V_IN 1141/1726 POM_5V_GPU 39/62 POM_5V_CPU 157/467 | [Container1: 2025-03-16 14:36:39 Container1 PerfStat: 73.119188581      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:39 Container2 PerfStat: 73.113299230      <not counted>      cache-misses] 
2025-03-16 14:36:41 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:41 TegraStats: RAM 2017/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,9%@204,7%@204,10%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@33C thermal@27.25C POM_5V_IN 1220/1713 POM_5V_GPU 39/61 POM_5V_CPU 196/460 | [Container1: 2025-03-16 14:36:41 Container1 PerfStat: 75.125205213      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:41 Container2 PerfStat: 75.118351794      <not counted>      cache-misses] 
2025-03-16 14:36:43 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:44 TegraStats: RAM 2018/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,11%@102,9%@102,10%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27.5C POM_5V_IN 1257/1706 POM_5V_GPU 117/61 POM_5V_CPU 235/456 | [Container1: 2025-03-16 14:36:43 Container1 PerfStat: 77.127827974      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:44 Container2 PerfStat: 78.123009091      <not counted>      cache-misses] 
2025-03-16 14:36:45 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:46 TegraStats: RAM 2017/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@825,15%@825,5%@825,9%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27.5C POM_5V_IN 1451/1697 POM_5V_GPU 78/61 POM_5V_CPU 391/453 | [Container1: 2025-03-16 14:36:45 Container1 PerfStat: 79.131750794      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:46 Container2 PerfStat: 80.128739471      <not counted>      cache-misses] 
2025-03-16 14:36:48 | daf4df109df6 55e90f8c969e | [Container1: daf4df109df6	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: 55e90f8c969e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:36:48 TegraStats: RAM 2019/3964MB (lfb 94x4MB) SWAP 41/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@1479,17%@1479,17%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27C AO@33C thermal@27.25C POM_5V_IN 1645/1693 POM_5V_GPU 39/61 POM_5V_CPU 470/453 | [Container1: 2025-03-16 14:36:47 Container1 PerfStat: 81.138496335      <not counted>      cache-misses] [Container2: 2025-03-16 14:36:48 Container2 PerfStat: 82.134782614      <not counted>      cache-misses] 
