Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:59:14 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:15 TegraStats: RAM 2021/3964MB (lfb 95x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,14%@1479,9%@1479,7%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@34C thermal@28.5C POM_5V_IN 1798/1888 POM_5V_GPU 39/65 POM_5V_CPU 741/530 | [Container1: 2025-03-16 14:59:13 Container1 PerfStat: 44.036272623      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:14 Container2 PerfStat: 45.040179927      <not counted>      cache-misses] 
2025-03-16 14:59:16 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:17 TegraStats: RAM 2010/3964MB (lfb 97x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,8%@102,10%@204,8%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@34C thermal@28.25C POM_5V_IN 1296/1864 POM_5V_GPU 39/64 POM_5V_CPU 235/518 | [Container1: 2025-03-16 14:59:16 Container1 PerfStat: 47.038711315      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:16 Container2 PerfStat: 47.040984659      <not counted>      cache-misses] 
2025-03-16 14:59:18 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:19 TegraStats: RAM 2016/3964MB (lfb 96x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@1036,12%@1036,10%@1036,11%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 2030/1854 POM_5V_GPU 39/63 POM_5V_CPU 740/516 | [Container1: 2025-03-16 14:59:18 Container1 PerfStat: 49.040314488      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:18 Container2 PerfStat: 49.041719130      <not counted>      cache-misses] 
2025-03-16 14:59:20 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:21 TegraStats: RAM 2013/3964MB (lfb 96x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,6%@204,8%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1102/1845 POM_5V_GPU 39/62 POM_5V_CPU 157/506 | [Container1: 2025-03-16 14:59:20 Container1 PerfStat: 51.044001994      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:21 Container2 PerfStat: 52.045650069      <not counted>      cache-misses] 
2025-03-16 14:59:22 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:23 TegraStats: RAM 2012/3964MB (lfb 97x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,9%@102,11%@204,16%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1141/1822 POM_5V_GPU 39/62 POM_5V_CPU 196/496 | [Container1: 2025-03-16 14:59:22 Container1 PerfStat: 53.045146727      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:23 Container2 PerfStat: 54.047211731      <not counted>      cache-misses] 
2025-03-16 14:59:25 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:25 TegraStats: RAM 1909/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,14%@204,10%@204,10%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.75C POM_5V_IN 2256/1821 POM_5V_GPU 38/62 POM_5V_CPU 389/490 | [Container1: 2025-03-16 14:59:24 Container1 PerfStat: 55.047088079      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:25 Container2 PerfStat: 56.049519959      <not counted>      cache-misses] 
2025-03-16 14:59:27 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:28 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@102,16%@204,13%@204,16%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.75C POM_5V_IN 1336/1819 POM_5V_GPU 39/62 POM_5V_CPU 196/491 | [Container1: 2025-03-16 14:59:27 Container1 PerfStat: 58.052000793      <not counted>      cache-references] [Container2: 2025-03-16 14:59:27 Container2 PerfStat: 58.051349852      <not counted>      cache-misses] 
2025-03-16 14:59:29 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:30 TegraStats: RAM 1880/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@1479,9%@1479,19%@1479,5%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28.5C AO@33.5C thermal@28.25C POM_5V_IN 2295/1815 POM_5V_GPU 38/61 POM_5V_CPU 544/487 | [Container1: 2025-03-16 14:59:29 Container1 PerfStat: 60.054950379      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:30 Container2 PerfStat: 61.053948337      <not counted>      cache-misses] 
2025-03-16 14:59:32 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:32 TegraStats: RAM 1893/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,11%@307,7%@307,10%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@29C PMIC@50C GPU@28C AO@33.5C thermal@28.5C POM_5V_IN 1798/1806 POM_5V_GPU 39/60 POM_5V_CPU 352/481 | [Container1: 2025-03-16 14:59:32 Container1 PerfStat: 63.059890281      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:32 Container2 PerfStat: 63.056779172      <not counted>      cache-misses] 
2025-03-16 14:59:34 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:35 TegraStats: RAM 1893/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,6%@204,7%@204,12%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1102/1792 POM_5V_GPU 39/61 POM_5V_CPU 157/475 | [Container1: 2025-03-16 14:59:34 Container1 PerfStat: 65.065435556      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:34 Container2 PerfStat: 65.060232302      <not counted>      cache-misses] 
2025-03-16 14:59:36 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:37 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,17%@204,15%@204,15%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1259/1790 POM_5V_GPU 78/60 POM_5V_CPU 196/470 | [Container1: 2025-03-16 14:59:36 Container1 PerfStat: 67.067693003      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:36 Container2 PerfStat: 67.061621359      <not counted>      cache-misses] 
2025-03-16 14:59:38 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:39 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,9%@204,7%@204,11%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1257/1787 POM_5V_GPU 78/60 POM_5V_CPU 236/467 | [Container1: 2025-03-16 14:59:38 Container1 PerfStat: 69.070471494      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:39 Container2 PerfStat: 70.065519068      <not counted>      cache-misses] 
2025-03-16 14:59:40 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:41 TegraStats: RAM 1889/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,11%@710,10%@307,14%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1952/1781 POM_5V_GPU 39/60 POM_5V_CPU 507/464 | [Container1: 2025-03-16 14:59:40 Container1 PerfStat: 71.073829572      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:41 Container2 PerfStat: 72.070825853      <not counted>      cache-misses] 
2025-03-16 14:59:43 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:43 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,8%@307,8%@307,7%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1141/1766 POM_5V_GPU 39/59 POM_5V_CPU 196/458 | [Container1: 2025-03-16 14:59:42 Container1 PerfStat: 73.077876923      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:43 Container2 PerfStat: 74.075179143      <not counted>      cache-misses] 
2025-03-16 14:59:45 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:45 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,10%@102,5%@102,5%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1180/1752 POM_5V_GPU 39/59 POM_5V_CPU 196/452 | [Container1: 2025-03-16 14:59:45 Container1 PerfStat: 76.082035363      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:45 Container2 PerfStat: 76.078174667      <not counted>      cache-misses] 
2025-03-16 14:59:47 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:47 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,14%@204,17%@204,17%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28.5C POM_5V_IN 1220/1742 POM_5V_GPU 39/61 POM_5V_CPU 196/446 | [Container1: 2025-03-16 14:59:47 Container1 PerfStat: 78.086806885      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:47 Container2 PerfStat: 78.084258278      <not counted>      cache-misses] 
2025-03-16 14:59:49 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:49 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,7%@204,8%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1569/1734 POM_5V_GPU 39/60 POM_5V_CPU 313/442 | [Container1: 2025-03-16 14:59:49 Container1 PerfStat: 80.091207415      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:49 Container2 PerfStat: 80.087874169      <not counted>      cache-misses] 
2025-03-16 14:59:51 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:52 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,7%@204,5%@204,13%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1220/1718 POM_5V_GPU 78/60 POM_5V_CPU 196/436 | [Container1: 2025-03-16 14:59:51 Container1 PerfStat: 82.093178558      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:52 Container2 PerfStat: 83.090708644      <not counted>      cache-misses] 
2025-03-16 14:59:54 | 46f0c76175bb f00d93991b7e | [Container1: 46f0c76175bb	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: f00d93991b7e	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:59:54 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 53/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,7%@1479,12%@1479,10%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1373/1709 POM_5V_GPU 39/60 POM_5V_CPU 430/434 | [Container1: 2025-03-16 14:59:53 Container1 PerfStat: 84.094960378      <not counted>      cache-misses] [Container2: 2025-03-16 14:59:54 Container2 PerfStat: 85.093336458      <not counted>      cache-misses] 
