Timestamp | Container IDs | Docker Stats | Tegrastats | PerfStats
2025-03-16 14:48:49 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:48:50 TegraStats: RAM 2023/3964MB (lfb 92x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,10%@204,8%@204,12%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.25C POM_5V_IN 1220/1923 POM_5V_GPU 39/64 POM_5V_CPU 196/574 | [Container1: 2025-03-16 14:48:49 Container1 PerfStat: 43.037485291      <not counted>      cache-misses] [Container2: 2025-03-16 14:48:50 Container2 PerfStat: 44.020422911      <not counted>      cache-misses] 
2025-03-16 14:48:52 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:48:52 TegraStats: RAM 2024/3964MB (lfb 92x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,11%@204,10%@204,10%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1257/1897 POM_5V_GPU 39/64 POM_5V_CPU 236/560 | [Container1: 2025-03-16 14:48:52 Container1 PerfStat: 46.042403839      <not counted>      cache-references] [Container2: 2025-03-16 14:48:52 Container2 PerfStat: 46.023368538      <not counted>      cache-misses] 
2025-03-16 14:48:54 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:48:54 TegraStats: RAM 2022/3964MB (lfb 92x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@518,12%@518,10%@518,11%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1876/1884 POM_5V_GPU 39/63 POM_5V_CPU 430/552 | [Container1: 2025-03-16 14:48:54 Container1 PerfStat: 48.044123575      <not counted>      cache-misses] [Container2: 2025-03-16 14:48:54 Container2 PerfStat: 48.024210458      <not counted>      cache-misses] 
2025-03-16 14:48:56 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:48:56 TegraStats: RAM 1892/3964MB (lfb 98x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,12%@102,8%@102,12%@204] EMC_FREQ 9%@204 GR3D_FREQ 8%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1375/1862 POM_5V_GPU 117/63 POM_5V_CPU 196/539 | [Container1: 2025-03-16 14:48:56 Container1 PerfStat: 50.048579678      <not counted>      cache-misses] [Container2: 2025-03-16 14:48:56 Container2 PerfStat: 50.026685510      <not counted>      cache-misses] 
2025-03-16 14:48:58 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:00 TegraStats: RAM 1892/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@710,13%@710,12%@710,13%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.5C POM_5V_IN 2182/1865 POM_5V_GPU 38/64 POM_5V_CPU 623/533 | [Container1: 2025-03-16 14:48:59 Container1 PerfStat: 53.051892281      <not counted>      cache-misses] [Container2: 2025-03-16 14:48:59 Container2 PerfStat: 53.028258989      <not counted>      cache-misses] 
2025-03-16 14:49:01 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:03 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,17%@204,12%@204,11%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1141/1848 POM_5V_GPU 78/63 POM_5V_CPU 157/519 | [Container1: 2025-03-16 14:49:02 Container1 PerfStat: 56.053915398      <not counted>      instructions] [Container2: 2025-03-16 14:49:02 Container2 PerfStat: 56.029295383      <not counted>      cache-misses] 
2025-03-16 14:49:04 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:05 TegraStats: RAM 1905/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@1479,14%@1479,9%@1479,20%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@27.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@29C POM_5V_IN 2295/1864 POM_5V_GPU 77/63 POM_5V_CPU 466/519 | [Container1: 2025-03-16 14:49:04 Container1 PerfStat: 58.054536170      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:04 Container2 PerfStat: 58.029905165      <not counted>      cache-misses] 
2025-03-16 14:49:06 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:07 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,15%@307,10%@307,9%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@28.5C AO@33.5C thermal@28C POM_5V_IN 1414/1846 POM_5V_GPU 0/61 POM_5V_CPU 275/511 | [Container1: 2025-03-16 14:49:06 Container1 PerfStat: 60.057771382      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:06 Container2 PerfStat: 60.031255212      <not counted>      cache-misses] 
2025-03-16 14:49:08 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:09 TegraStats: RAM 1891/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@614,18%@614,12%@614,14%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.25C POM_5V_IN 2217/1842 POM_5V_GPU 77/61 POM_5V_CPU 701/510 | [Container1: 2025-03-16 14:49:08 Container1 PerfStat: 62.060483883      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:09 Container2 PerfStat: 63.035848289      <not counted>      cycles] 
2025-03-16 14:49:10 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:11 TegraStats: RAM 1891/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,9%@102,7%@102,3%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28C POM_5V_IN 1180/1827 POM_5V_GPU 39/62 POM_5V_CPU 196/501 | [Container1: 2025-03-16 14:49:10 Container1 PerfStat: 64.065868273      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:11 Container2 PerfStat: 65.037432191      <not counted>      cache-misses] 
2025-03-16 14:49:12 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:13 TegraStats: RAM 1890/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,9%@204,8%@204,6%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28.5C AO@33C thermal@27.75C POM_5V_IN 1102/1816 POM_5V_GPU 0/62 POM_5V_CPU 196/493 | [Container1: 2025-03-16 14:49:12 Container1 PerfStat: 66.071581830      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:13 Container2 PerfStat: 67.042410016      <not counted>      cache-misses] 
2025-03-16 14:49:15 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:15 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,13%@204,7%@204,10%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28.25C POM_5V_IN 1220/1802 POM_5V_GPU 39/62 POM_5V_CPU 236/486 | [Container1: 2025-03-16 14:49:14 Container1 PerfStat: 68.077666848      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:15 Container2 PerfStat: 69.044394233      <not counted>      cache-misses] 
2025-03-16 14:49:17 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:17 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@921,15%@921,7%@921,3%@921] EMC_FREQ 1%@1600 GR3D_FREQ 2%@153 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@28C POM_5V_IN 1684/1794 POM_5V_GPU 117/62 POM_5V_CPU 351/482 | [Container1: 2025-03-16 14:49:17 Container1 PerfStat: 71.083867276      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:17 Container2 PerfStat: 71.047523350      <not counted>      cache-misses] 
2025-03-16 14:49:19 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:20 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,11%@307,10%@307,9%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28C POM_5V_IN 1180/1783 POM_5V_GPU 39/63 POM_5V_CPU 236/478 | [Container1: 2025-03-16 14:49:19 Container1 PerfStat: 73.089570990      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:19 Container2 PerfStat: 73.050563405      <not counted>      cache-misses] 
2025-03-16 14:49:21 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:22 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,10%@102,9%@102,13%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@27C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@27.75C POM_5V_IN 1141/1768 POM_5V_GPU 39/62 POM_5V_CPU 236/472 | [Container1: 2025-03-16 14:49:21 Container1 PerfStat: 75.094363658      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:22 Container2 PerfStat: #           time             counts unit events] 
2025-03-16 14:49:23 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:24 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,14%@204,10%@307,2%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27.5C AO@33.5C thermal@28.5C POM_5V_IN 1220/1756 POM_5V_GPU 39/63 POM_5V_CPU 235/466 | [Container1: 2025-03-16 14:49:23 Container1 PerfStat: 77.101161647      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:24 Container2 PerfStat: 78.061056604      <not counted>      cache-misses] 
2025-03-16 14:49:25 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:26 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,15%@204,18%@204,14%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33.5C thermal@28.25C POM_5V_IN 1451/1746 POM_5V_GPU 78/63 POM_5V_CPU 391/462 | [Container1: 2025-03-16 14:49:25 Container1 PerfStat: 79.105255145      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:26 Container2 PerfStat: 80.062909622      <not counted>      cache-misses] 
2025-03-16 14:49:28 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:28 TegraStats: RAM 1887/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1224,11%@1224,9%@1224,12%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1605/1737 POM_5V_GPU 39/62 POM_5V_CPU 547/462 | [Container1: 2025-03-16 14:49:27 Container1 PerfStat: 81.107951500      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:28 Container2 PerfStat: 82.065545195      <not counted>      cache-misses] 
2025-03-16 14:49:30 | cb4932764d31 dd4ff011d2a4 | [Container1: cb4932764d31	0.00%	0B / 0B	0B / 0B	0B / 0B	0] [Container2: dd4ff011d2a4	0.00%	0B / 0B	0B / 0B	0B / 0B	0]  | 2025-03-16 14:49:30 TegraStats: RAM 1888/3964MB (lfb 99x4MB) SWAP 47/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,11%@518,3%@518,7%@518] EMC_FREQ 9%@204 GR3D_FREQ 2%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@28C AO@33C thermal@27.75C POM_5V_IN 1569/1730 POM_5V_GPU 156/63 POM_5V_CPU 391/459 | [Container1: 2025-03-16 14:49:30 Container1 PerfStat: 84.112146086      <not counted>      cache-misses] [Container2: 2025-03-16 14:49:30 Container2 PerfStat: 84.067954466      <not counted>      cache-misses] 
