2025-03-16 02:40:27 | DockerStats: 20b09d247631	26.45%	50.15MiB / 128MiB	4.08MB / 22.9kB	73.4MB / 0B	16 | 2025-03-16 02:40:28 TegraStats: RAM 2023/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@921,15%@921,12%@921,9%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1684/1757 POM_5V_GPU 39/65 POM_5V_CPU 469/509 | 2025-03-16 02:40:29 PerfStat: 30.061656735          1 425 477      cache-misses              #    3,246 % of all cache refs
2025-03-16 02:40:30 | DockerStats: 20b09d247631	25.69%	55.7MiB / 128MiB	5.13MB / 33.9kB	78.7MB / 0B	28 | 2025-03-16 02:40:31 TegraStats: RAM 2033/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@921,10%@921,12%@921,13%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1912/1765 POM_5V_GPU 156/70 POM_5V_CPU 546/521 | 2025-03-16 02:40:31 PerfStat: 32.067042999          1 445 097      cache-misses              #    3,325 % of all cache refs
2025-03-16 02:40:32 | DockerStats: 20b09d247631	27.36%	57.84MiB / 128MiB	5.18MB / 37.5kB	81.1MB / 0B	27 | 2025-03-16 02:40:33 TegraStats: RAM 2030/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@403,21%@403,16%@403,12%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1414/1740 POM_5V_GPU 39/68 POM_5V_CPU 430/519 | 2025-03-16 02:40:34 PerfStat: 35.071648681            579 622      cache-misses              #    1,383 % of all cache refs
2025-03-16 02:40:35 | DockerStats: 20b09d247631	25.65%	58.47MiB / 128MiB	5.67MB / 41.7kB	81.1MB / 0B	27 | 2025-03-16 02:40:36 TegraStats: RAM 2032/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1132,17%@1132,12%@1132,12%@1132] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1605/1799 POM_5V_GPU 39/67 POM_5V_CPU 509/564 | 2025-03-16 02:40:36 PerfStat: 37.074053212          1 187 142      cache-misses              #    2,831 % of all cache refs
2025-03-16 02:40:38 | DockerStats: 20b09d247631	25.60%	58.91MiB / 128MiB	5.7MB / 78kB	81.3MB / 0B	27 | 2025-03-16 02:40:39 TegraStats: RAM 2031/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@614,15%@614,16%@614,10%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1336/1776 POM_5V_GPU 39/67 POM_5V_CPU 470/556 | 2025-03-16 02:40:39 PerfStat: 40.075719088          1 852 716      cache-misses              #    4,532 % of all cache refs
2025-03-16 02:40:40 | DockerStats: 20b09d247631	25.46%	58.8MiB / 128MiB	5.75MB / 299kB	81.3MB / 0B	27 | 2025-03-16 02:40:41 TegraStats: RAM 2033/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@403,16%@403,12%@614,14%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1530/1771 POM_5V_GPU 39/65 POM_5V_CPU 470/553 | 2025-03-16 02:40:42 PerfStat: 43.077319494          1 015 845      cache-misses              #    2,527 % of all cache refs
2025-03-16 02:40:43 | DockerStats: 20b09d247631	25.17%	59.02MiB / 128MiB	6.86MB / 1.62MB	81.3MB / 0B	27 | 2025-03-16 02:40:44 TegraStats: RAM 2029/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1479,15%@1479,12%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32.5C thermal@27C POM_5V_IN 1605/1759 POM_5V_GPU 117/65 POM_5V_CPU 547/550 | 2025-03-16 02:40:44 PerfStat: 45.081837421          1 256 348      cache-misses              #    3,133 % of all cache refs
2025-03-16 02:40:45 | DockerStats: 20b09d247631	25.30%	59.9MiB / 128MiB	7.97MB / 3.12MB	81.3MB / 0B	27 | 2025-03-16 02:40:46 TegraStats: RAM 2034/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1036,21%@1036,10%@1036,14%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@33C thermal@27.25C POM_5V_IN 1759/1753 POM_5V_GPU 39/64 POM_5V_CPU 507/547 | 2025-03-16 02:40:47 PerfStat: 48.087312430          1 760 163      cache-misses              #    4,283 % of all cache refs
2025-03-16 02:40:48 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:49 TegraStats: RAM 1973/3964MB (lfb 97x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@921,27%@921,38%@921,18%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@307 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 1451/1753 POM_5V_GPU 39/64 POM_5V_CPU 392/545 | 2025-03-16 02:40:49 PerfStat: 50.090212640          1 430 473      cache-misses              #    3,501 % of all cache refs
2025-03-16 02:40:51 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:50 TegraStats: RAM 1964/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@518,14%@518,7%@518,14%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@307 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@33C thermal@27C POM_5V_IN 1490/1748 POM_5V_GPU 117/65 POM_5V_CPU 391/542 | 2025-03-16 02:40:51 PerfStat: 52.092773422      <not counted>      cache-misses
2025-03-16 02:40:52 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:52 TegraStats: RAM 1980/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,10%@1479,8%@1479,9%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@307 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 2182/1751 POM_5V_GPU 38/64 POM_5V_CPU 856/546 | 2025-03-16 02:40:53 PerfStat: 54.097391922      <not counted>      cache-misses
2025-03-16 02:40:54 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:54 TegraStats: RAM 1977/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,8%@307,5%@307,6%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@384 APE 25 PLL@26C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1257/1732 POM_5V_GPU 78/64 POM_5V_CPU 313/537 | 2025-03-16 02:40:54 PerfStat: 55.100458285      <not counted>      cache-misses
