2025-03-16 02:46:02 | DockerStats: 34fa6c934d4c	25.88%	43.05MiB / 128MiB	4.09MB / 18.1kB	72.6MB / 0B	16 | 2025-03-16 02:46:03 TegraStats: RAM 2018/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,12%@307,18%@307,5%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32C thermal@26.5C POM_5V_IN 1220/1784 POM_5V_GPU 0/64 POM_5V_CPU 351/525 | 2025-03-16 02:46:04 PerfStat: 30.028517825            993 091      cache-misses              #    2,510 % of all cache refs
2025-03-16 02:46:05 | DockerStats: 34fa6c934d4c	25.84%	45.55MiB / 128MiB	4.09MB / 18.1kB	72.6MB / 0B	16 | 2025-03-16 02:46:06 TegraStats: RAM 2020/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1479,10%@1479,10%@1479,19%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1876/1811 POM_5V_GPU 78/63 POM_5V_CPU 469/542 | 2025-03-16 02:46:06 PerfStat: 32.030849074          1 159 069      cache-misses              #    2,960 % of all cache refs
2025-03-16 02:46:08 | DockerStats: 34fa6c934d4c	25.28%	50.55MiB / 128MiB	4.09MB / 18.1kB	72.9MB / 0B	16 | 2025-03-16 02:46:09 TegraStats: RAM 2023/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@825,6%@825,17%@825,9%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@28C AO@32C thermal@26.75C POM_5V_IN 1798/1818 POM_5V_GPU 0/62 POM_5V_CPU 391/534 | 2025-03-16 02:46:09 PerfStat: 35.033108338          1 637 760      cache-misses              #    4,152 % of all cache refs
2025-03-16 02:46:10 | DockerStats: 34fa6c934d4c	25.99%	54.14MiB / 128MiB	4.36MB / 20.1kB	75.1MB / 0B	16 | 2025-03-16 02:46:11 TegraStats: RAM 2026/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,23%@204,15%@204,8%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1723/1811 POM_5V_GPU 39/60 POM_5V_CPU 469/529 | 2025-03-16 02:46:11 PerfStat: 37.033875882          1 647 720      cache-misses              #    4,176 % of all cache refs
2025-03-16 02:46:13 | DockerStats: 34fa6c934d4c	25.63%	60.65MiB / 128MiB	4.62MB / 24.9kB	80.8MB / 0B	28 | 2025-03-16 02:46:14 TegraStats: RAM 2028/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@518,11%@518,17%@518,13%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1684/1810 POM_5V_GPU 78/60 POM_5V_CPU 391/526 | 2025-03-16 02:46:14 PerfStat: 40.036264157            962 288      cache-misses              #    2,415 % of all cache refs
2025-03-16 02:46:15 | DockerStats: 34fa6c934d4c	25.24%	61.09MiB / 128MiB	4.64MB / 85.3kB	80.8MB / 0B	28 | 2025-03-16 02:46:16 TegraStats: RAM 2030/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1479,22%@1479,15%@1479,7%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@27C POM_5V_IN 1569/1838 POM_5V_GPU 39/59 POM_5V_CPU 353/550 | 2025-03-16 02:46:17 PerfStat: 43.039882750          1 372 830      cache-misses              #    3,449 % of all cache refs
2025-03-16 02:46:18 | DockerStats: 34fa6c934d4c	25.21%	62.08MiB / 128MiB	5.57MB / 617kB	80.8MB / 0B	28 | 2025-03-16 02:46:19 TegraStats: RAM 2030/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@403,16%@403,14%@403,13%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1375/1819 POM_5V_GPU 39/57 POM_5V_CPU 391/538 | 2025-03-16 02:46:19 PerfStat: 45.042476605          1 022 981      cache-misses              #    2,563 % of all cache refs
2025-03-16 02:46:21 | DockerStats: 34fa6c934d4c	25.70%	62.11MiB / 128MiB	5.75MB / 707kB	80.8MB / 0B	28 | 2025-03-16 02:46:21 TegraStats: RAM 2030/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@825,11%@825,17%@825,20%@825] EMC_FREQ 1%@1600 GR3D_FREQ 50%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1605/1801 POM_5V_GPU 156/59 POM_5V_CPU 469/538 | 2025-03-16 02:46:22 PerfStat: 48.046804942          1 443 426      cache-misses              #    3,674 % of all cache refs
2025-03-16 02:46:23 | DockerStats: 34fa6c934d4c	24.62%	62MiB / 128MiB	5.81MB / 1.08MB	80.8MB / 0B	28 | 2025-03-16 02:46:24 TegraStats: RAM 2031/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@825,15%@825,14%@825,15%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1605/1801 POM_5V_GPU 39/58 POM_5V_CPU 469/540 | 2025-03-16 02:46:24 PerfStat: 50.048955982          1 782 943      cache-misses              #    4,575 % of all cache refs
2025-03-16 02:46:26 | DockerStats: 34fa6c934d4c	25.05%	62.31MiB / 128MiB	6.39MB / 1.99MB	80.8MB / 0B	28 | 2025-03-16 02:46:27 TegraStats: RAM 2031/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@614,16%@614,17%@614,9%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1645/1800 POM_5V_GPU 78/58 POM_5V_CPU 469/547 | 2025-03-16 02:46:27 PerfStat: 53.050927849          1 528 305      cache-misses              #    3,882 % of all cache refs
