2025-03-16 02:38:15 | DockerStats: cd32d74a79a2	24.38%	47.64MiB / 128MiB	4.08MB / 17.6kB	72.6MB / 0B	16 | 2025-03-16 02:38:16 TegraStats: RAM 2036/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@403,10%@403,15%@403,13%@403] EMC_FREQ 1%@1600 GR3D_FREQ 99%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1876/1872 POM_5V_GPU 156/72 POM_5V_CPU 391/496 | 2025-03-16 02:38:17 PerfStat: 30.045903742          2 113 961      cache-misses              #    5,086 % of all cache refs
2025-03-16 02:38:18 | DockerStats: cd32d74a79a2	25.53%	53.31MiB / 128MiB	4.08MB / 17.6kB	72.6MB / 0B	16 | 2025-03-16 02:38:19 TegraStats: RAM 2041/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1479,16%@1479,27%@1479,19%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 3197/1914 POM_5V_GPU 38/69 POM_5V_CPU 1543/530 | 2025-03-16 02:38:19 PerfStat: 32.047757229          1 308 924      cache-misses              #    3,148 % of all cache refs
2025-03-16 02:38:21 | DockerStats: cd32d74a79a2	24.94%	61.05MiB / 128MiB	4.35MB / 20.8kB	80MB / 0B	25 | 2025-03-16 02:38:21 TegraStats: RAM 2044/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,16%@204,14%@204,16%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.75C POM_5V_IN 1336/1909 POM_5V_GPU 39/70 POM_5V_CPU 275/522 | 2025-03-16 02:38:22 PerfStat: 35.052668589            864 551      cache-misses              #    2,067 % of all cache refs
2025-03-16 02:38:23 | DockerStats: cd32d74a79a2	24.75%	61.96MiB / 128MiB	4.62MB / 116kB	80.2MB / 0B	25 | 2025-03-16 02:38:24 TegraStats: RAM 2042/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@403,14%@403,8%@403,14%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1490/1878 POM_5V_GPU 39/70 POM_5V_CPU 353/512 | 2025-03-16 02:38:24 PerfStat: 37.057479277          1 171 692      cache-misses              #    2,808 % of all cache refs
2025-03-16 02:38:26 | DockerStats: cd32d74a79a2	24.83%	62.16MiB / 128MiB	5.72MB / 1.18MB	80.2MB / 0B	25 | 2025-03-16 02:38:27 TegraStats: RAM 2043/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@825,19%@825,12%@825,17%@825] EMC_FREQ 1%@1600 GR3D_FREQ 5%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1451/1844 POM_5V_GPU 195/71 POM_5V_CPU 391/499 | 2025-03-16 02:38:27 PerfStat: 40.059813229          1 255 396      cache-misses              #    2,978 % of all cache refs
2025-03-16 02:38:28 | DockerStats: cd32d74a79a2	25.99%	62.52MiB / 128MiB	8.38MB / 2.48MB	80.2MB / 0B	25 | 2025-03-16 02:38:29 TegraStats: RAM 2056/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1479,24%@1479,22%@1479,19%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 29%@153 APE 25 PLL@26.5C CPU@28.5C PMIC@50C GPU@27C AO@33C thermal@26.75C POM_5V_IN 3494/1872 POM_5V_GPU 153/73 POM_5V_CPU 1651/522 | 2025-03-16 02:38:30 PerfStat: 43.065957668          2 115 119      cache-misses              #    4,986 % of all cache refs
2025-03-16 02:38:31 | DockerStats: cd32d74a79a2	25.07%	64.9MiB / 128MiB	8.95MB / 3.94MB	80.2MB / 0B	25 | 2025-03-16 02:38:32 TegraStats: RAM 2046/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@307,16%@307,11%@307,13%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1296/1837 POM_5V_GPU 39/70 POM_5V_CPU 392/508 | 2025-03-16 02:38:32 PerfStat: 45.069112255          2 222 543      cache-misses              #    5,219 % of all cache refs
2025-03-16 02:38:34 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:33 TegraStats: RAM 2037/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@518,10%@614,13%@614,15%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1605/1831 POM_5V_GPU 78/70 POM_5V_CPU 508/508 | 2025-03-16 02:38:34 PerfStat: 47.071688401            938 222      cache-misses              #    2,198 % of all cache refs
2025-03-16 02:38:35 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:35 TegraStats: RAM 1980/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@518,12%@518,10%@518,8%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1296/1813 POM_5V_GPU 78/70 POM_5V_CPU 353/501 | 2025-03-16 02:38:36 PerfStat: 49.074337256      <not counted>      cache-misses
2025-03-16 02:38:37 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:37 TegraStats: RAM 1984/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,9%@204,7%@307,9%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1141/1786 POM_5V_GPU 39/69 POM_5V_CPU 236/490 | 2025-03-16 02:38:37 PerfStat: 50.076544553      <not counted>      cache-misses
