2025-03-16 02:51:05 | DockerStats: 095d68607caf	27.22%	43.61MiB / 128MiB	4.08MB / 16.9kB	73MB / 0B	16 | 2025-03-16 02:51:06 TegraStats: RAM 2025/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@403,20%@403,19%@403,21%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1336/1688 POM_5V_GPU 39/52 POM_5V_CPU 235/432 | 2025-03-16 02:51:07 PerfStat: 30.036938751          1 179 636      cache-misses              #    2,834 % of all cache refs
2025-03-16 02:51:08 | DockerStats: 095d68607caf	25.19%	49.02MiB / 128MiB	4.08MB / 16.9kB	73MB / 0B	16 | 2025-03-16 02:51:09 TegraStats: RAM 2030/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,20%@204,10%@204,8%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1453/1687 POM_5V_GPU 78/53 POM_5V_CPU 275/425 | 2025-03-16 02:51:09 PerfStat: 32.037780566          1 720 824      cache-misses              #    4,084 % of all cache refs
2025-03-16 02:51:11 | DockerStats: 095d68607caf	25.27%	55.56MiB / 128MiB	4.35MB / 19kB	77.7MB / 0B	28 | 2025-03-16 02:51:11 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,11%@204,14%@204,16%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1220/1676 POM_5V_GPU 39/57 POM_5V_CPU 235/415 | 2025-03-16 02:51:12 PerfStat: 35.039896548          1 010 417      cache-misses              #    2,413 % of all cache refs
2025-03-16 02:51:13 | DockerStats: 095d68607caf	24.80%	58.3MiB / 128MiB	4.62MB / 22.8kB	80.7MB / 0B	28 | 2025-03-16 02:51:14 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@825,17%@825,12%@825,8%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1952/1690 POM_5V_GPU 117/57 POM_5V_CPU 507/421 | 2025-03-16 02:51:14 PerfStat: 37.042300610          1 203 349      cache-misses              #    2,906 % of all cache refs
2025-03-16 02:51:16 | DockerStats: 095d68607caf	24.53%	58.61MiB / 128MiB	7.83MB / 1.96MB	80.9MB / 0B	28 | 2025-03-16 02:51:17 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,13%@204,14%@204,9%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1220/1666 POM_5V_GPU 39/57 POM_5V_CPU 196/409 | 2025-03-16 02:51:17 PerfStat: 40.043908621          1 651 305      cache-misses              #    3,873 % of all cache refs
2025-03-16 02:51:18 | DockerStats: 095d68607caf	24.42%	58.71MiB / 128MiB	9.46MB / 3.7MB	80.9MB / 0B	28 | 2025-03-16 02:51:19 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@921,15%@921,14%@921,19%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32C thermal@27.25C POM_5V_IN 1451/1654 POM_5V_GPU 39/56 POM_5V_CPU 392/407 | 2025-03-16 02:51:20 PerfStat: 43.046794294          1 274 872      cache-misses              #    3,018 % of all cache refs
2025-03-16 02:51:21 | DockerStats: 095d68607caf	24.95%	61.02MiB / 128MiB	10.6MB / 5.32MB	80.9MB / 0B	28 | 2025-03-16 02:51:22 TegraStats: RAM 2037/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,17%@204,11%@204,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1259/1632 POM_5V_GPU 39/56 POM_5V_CPU 235/396 | 2025-03-16 02:51:22 PerfStat: 45.048943980          1 415 237      cache-misses              #    3,361 % of all cache refs
2025-03-16 02:51:24 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:23 TegraStats: RAM 1968/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@307,25%@307,21%@307,22%@307] EMC_FREQ 13%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1336/1626 POM_5V_GPU 39/55 POM_5V_CPU 275/394 | 2025-03-16 02:51:24 PerfStat: 47.051786743             12 084      cache-misses              #    0,029 % of all cache refs
2025-03-16 02:51:25 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:26 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,12%@204,10%@204,9%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1141/1605 POM_5V_GPU 39/55 POM_5V_CPU 196/385 | 2025-03-16 02:51:25 PerfStat: 48.053998622      <not counted>      cache-misses
2025-03-16 02:51:27 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:27 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,14%@204,14%@204,10%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1102/1595 POM_5V_GPU 39/54 POM_5V_CPU 157/380 | 2025-03-16 02:51:27 PerfStat: 50.056089298      <not counted>      cache-misses
2025-03-16 02:51:28 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:29 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,7%@102,8%@102,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@33C thermal@27C POM_5V_IN 1257/1582 POM_5V_GPU 39/55 POM_5V_CPU 236/374 | 2025-03-16 02:51:29 PerfStat: 52.058405183      <not counted>      cache-misses
2025-03-16 02:51:30 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:30 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,9%@204,7%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1220/1575 POM_5V_GPU 78/56 POM_5V_CPU 157/369 | 2025-03-16 02:51:30 PerfStat: 53.066238235      <not counted>      cache-misses
2025-03-16 02:51:32 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:32 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@518,8%@518,13%@518,14%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1991/1575 POM_5V_GPU 39/55 POM_5V_CPU 585/370 | 2025-03-16 02:51:32 PerfStat: 55.071752417      <not counted>      cache-misses
2025-03-16 02:51:33 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:34 TegraStats: RAM 1978/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,6%@102,9%@102,9%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1141/1559 POM_5V_GPU 78/55 POM_5V_CPU 196/363 | 2025-03-16 02:51:33 PerfStat: 56.072774343      <not counted>      cache-misses
2025-03-16 02:51:35 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:35 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,9%@204,11%@204,10%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1296/1555 POM_5V_GPU 39/55 POM_5V_CPU 235/361 | 2025-03-16 02:51:35 PerfStat: 58.074985175      <not counted>      cache-misses
2025-03-16 02:51:36 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:37 TegraStats: RAM 1979/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,19%@204,13%@204,15%@204] EMC_FREQ 10%@204 GR3D_FREQ 95%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@33C thermal@26.75C POM_5V_IN 1490/1546 POM_5V_GPU 157/56 POM_5V_CPU 196/355 | 2025-03-16 02:51:37 PerfStat: 60.076070741      <not counted>      instructions
2025-03-16 02:51:38 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:38 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,4%@204,6%@204,8%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1103/1538 POM_5V_GPU 39/56 POM_5V_CPU 157/351 | 2025-03-16 02:51:38 PerfStat: 61.076493862      <not counted>      cache-misses
2025-03-16 02:51:40 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:40 TegraStats: RAM 1982/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@921,5%@921,12%@921,13%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 2104/1540 POM_5V_GPU 39/55 POM_5V_CPU 428/349 | 2025-03-16 02:51:40 PerfStat: 63.080389286      <not counted>      cache-misses
