2025-03-16 03:08:52 | DockerStats: 68fecb8e6b49	24.89%	42.25MiB / 128MiB	4.08MB / 17.8kB	72.6MB / 0B	16 | 2025-03-16 03:08:52 TegraStats: RAM 2021/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1479,15%@1479,13%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1645/1654 POM_5V_GPU 39/48 POM_5V_CPU 470/389 | 2025-03-16 03:08:53 PerfStat: 30.038408394            947 405      cache-misses              #    2,461 % of all cache refs
2025-03-16 03:08:54 | DockerStats: 68fecb8e6b49	24.69%	46.9MiB / 128MiB	4.08MB / 17.8kB	72.6MB / 0B	16 | 2025-03-16 03:08:55 TegraStats: RAM 2025/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@710,19%@710,24%@710,17%@710] EMC_FREQ 1%@1600 GR3D_FREQ 84%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 2143/1691 POM_5V_GPU 194/57 POM_5V_CPU 506/393 | 2025-03-16 03:08:55 PerfStat: 32.039442189          2 162 713      cache-misses              #    5,584 % of all cache refs
2025-03-16 03:08:57 | DockerStats: 68fecb8e6b49	25.05%	51.53MiB / 128MiB	4.47MB / 20.1kB	72.7MB / 0B	16 | 2025-03-16 03:08:57 TegraStats: RAM 2028/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,11%@204,6%@204,21%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1490/1676 POM_5V_GPU 39/56 POM_5V_CPU 274/386 | 2025-03-16 03:08:58 PerfStat: 35.040558947          1 838 993      cache-misses              #    4,674 % of all cache refs
2025-03-16 03:08:59 | DockerStats: 68fecb8e6b49	25.28%	57.64MiB / 128MiB	4.85MB / 25.5kB	80.3MB / 0B	24 | 2025-03-16 03:09:00 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@614,18%@614,23%@614,18%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 2373/1696 POM_5V_GPU 38/55 POM_5V_CPU 583/399 | 2025-03-16 03:09:00 PerfStat: 37.042604362          1 137 870      cache-misses              #    2,915 % of all cache refs
2025-03-16 03:09:02 | DockerStats: 68fecb8e6b49	25.27%	58.61MiB / 128MiB	6.76MB / 1MB	80.5MB / 0B	24 | 2025-03-16 03:09:03 TegraStats: RAM 2032/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,23%@204,13%@204,12%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1375/1698 POM_5V_GPU 39/57 POM_5V_CPU 235/398 | 2025-03-16 03:09:03 PerfStat: 40.045495869          1 855 682      cache-misses              #    4,593 % of all cache refs
2025-03-16 03:09:05 | DockerStats: 68fecb8e6b49	24.77%	58.9MiB / 128MiB	7.32MB / 2.55MB	80.5MB / 0B	24 | 2025-03-16 03:09:06 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@1036,24%@1036,27%@1036,20%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@31.5C thermal@26.75C POM_5V_IN 1605/1685 POM_5V_GPU 39/56 POM_5V_CPU 352/394 | 2025-03-16 03:09:06 PerfStat: 43.052224008          2 186 791      cache-misses              #    5,369 % of all cache refs
2025-03-16 03:09:07 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:08 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,24%@204,19%@204,21%@204] EMC_FREQ 15%@204 GR3D_FREQ 0%@384 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1220/1669 POM_5V_GPU 78/56 POM_5V_CPU 196/389 | 2025-03-16 03:09:07 PerfStat: 44.053594790          1 149 773      cache-misses              #    2,834 % of all cache refs
2025-03-16 03:09:09 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:09 TegraStats: RAM 1968/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@403,19%@307,8%@307,8%@307] EMC_FREQ 12%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26C AO@31.5C thermal@26.75C POM_5V_IN 1375/1663 POM_5V_GPU 39/56 POM_5V_CPU 313/387 | 2025-03-16 03:09:09 PerfStat: 46.056104322      <not counted>      cache-misses
2025-03-16 03:09:10 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:11 TegraStats: RAM 1978/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,13%@204,6%@204,7%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@31.5C thermal@26.25C POM_5V_IN 1220/1641 POM_5V_GPU 39/55 POM_5V_CPU 236/379 | 2025-03-16 03:09:10 PerfStat: 47.058637349      <not counted>      cache-misses
2025-03-16 03:09:12 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:12 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,12%@102,4%@102,5%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1141/1631 POM_5V_GPU 39/55 POM_5V_CPU 196/375 | 2025-03-16 03:09:12 PerfStat: 49.061219277      <not counted>      cache-misses
2025-03-16 03:09:14 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:14 TegraStats: RAM 1977/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,13%@307,7%@307,5%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1723/1627 POM_5V_GPU 39/56 POM_5V_CPU 391/372 | 2025-03-16 03:09:14 PerfStat: 51.064782459      <not counted>      cache-misses
2025-03-16 03:09:15 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:15 TegraStats: RAM 1968/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,11%@102,6%@102,4%@102] EMC_FREQ 8%@204 GR3D_FREQ 2%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1180/1618 POM_5V_GPU 78/56 POM_5V_CPU 196/369 | 2025-03-16 03:09:15 PerfStat: 52.067426060      <not counted>      cache-misses
2025-03-16 03:09:17 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:17 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,9%@102,12%@102,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@31.5C thermal@26.75C POM_5V_IN 1180/1601 POM_5V_GPU 39/55 POM_5V_CPU 196/363 | 2025-03-16 03:09:17 PerfStat: 54.071498724      <not counted>      cache-misses
2025-03-16 03:09:18 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:19 TegraStats: RAM 1979/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,13%@102,9%@102,6%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1102/1585 POM_5V_GPU 39/55 POM_5V_CPU 157/356 | 2025-03-16 03:09:18 PerfStat: 55.073605186      <not counted>      cache-misses
2025-03-16 03:09:20 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:20 TegraStats: RAM 1968/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,8%@204,7%@204,6%@204] EMC_FREQ 8%@204 GR3D_FREQ 98%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1375/1581 POM_5V_GPU 196/57 POM_5V_CPU 196/354 | 2025-03-16 03:09:20 PerfStat: 57.075847529      <not counted>      cache-misses
2025-03-16 03:09:22 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:22 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,15%@204,13%@204,8%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@31.5C thermal@26.5C POM_5V_IN 2104/1582 POM_5V_GPU 77/57 POM_5V_CPU 234/348 | 2025-03-16 03:09:22 PerfStat: 59.077670911      <not counted>      cache-misses
