2025-03-16 02:35:59 | DockerStats: e028f7bc7379	24.73%	38.25MiB / 128MiB	4.09MB / 17.6kB	0B / 0B	16 | 2025-03-16 02:36:00 TegraStats: RAM 2091/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,14%@204,18%@204,13%@204] EMC_FREQ 13%@204 GR3D_FREQ 0%@460 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1723/1492 POM_5V_GPU 117/60 POM_5V_CPU 313/326 | 2025-03-16 02:36:00 PerfStat: 30.074480182          2 076 786      cache-misses              #    5,402 % of all cache refs
2025-03-16 02:36:02 | DockerStats: e028f7bc7379	25.42%	44.56MiB / 128MiB	4.09MB / 17.6kB	0B / 0B	16 | 2025-03-16 02:36:03 TegraStats: RAM 2096/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@403,12%@403,15%@403,8%@403] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1414/1497 POM_5V_GPU 78/59 POM_5V_CPU 274/322 | 2025-03-16 02:36:02 PerfStat: 32.077393101          1 730 106      cache-misses              #    4,395 % of all cache refs
2025-03-16 02:36:04 | DockerStats: e028f7bc7379	25.74%	46.94MiB / 128MiB	5.16MB / 26kB	0B / 0B	25 | 2025-03-16 02:36:05 TegraStats: RAM 2100/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,23%@204,22%@204,18%@204] EMC_FREQ 14%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.25C POM_5V_IN 1605/1492 POM_5V_GPU 78/59 POM_5V_CPU 391/322 | 2025-03-16 02:36:05 PerfStat: 35.080114919          1 450 297      cache-misses              #    3,687 % of all cache refs
2025-03-16 02:36:07 | DockerStats: e028f7bc7379	25.93%	47.25MiB / 128MiB	5.68MB / 31.3kB	0B / 0B	25 | 2025-03-16 02:36:08 TegraStats: RAM 2096/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1132,11%@1132,16%@1132,11%@1132] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1414/1492 POM_5V_GPU 39/57 POM_5V_CPU 353/333 | 2025-03-16 02:36:07 PerfStat: 37.081968823          1 202 007      cache-misses              #    3,079 % of all cache refs
2025-03-16 02:36:09 | DockerStats: e028f7bc7379	25.62%	47.38MiB / 128MiB	5.7MB / 57.8kB	0B / 0B	25 | 2025-03-16 02:36:10 TegraStats: RAM 2098/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@710,13%@710,18%@710,17%@710] EMC_FREQ 1%@1600 GR3D_FREQ 12%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 2143/1501 POM_5V_GPU 116/59 POM_5V_CPU 545/335 | 2025-03-16 02:36:10 PerfStat: 40.083426052          1 656 489      cache-misses              #    4,337 % of all cache refs
2025-03-16 02:36:12 | DockerStats: e028f7bc7379	24.48%	47.45MiB / 128MiB	5.75MB / 133kB	0B / 0B	25 | 2025-03-16 02:36:13 TegraStats: RAM 2099/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,12%@204,16%@204,13%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@27C AO@32C thermal@26.75C POM_5V_IN 1141/1508 POM_5V_GPU 0/58 POM_5V_CPU 196/340 | 2025-03-16 02:36:13 PerfStat: 43.086444173          1 754 542      cache-misses              #    4,683 % of all cache refs
2025-03-16 02:36:15 | DockerStats: e028f7bc7379	25.66%	47.55MiB / 128MiB	7.38MB / 1.6MB	0B / 0B	25 | 2025-03-16 02:36:16 TegraStats: RAM 2098/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,16%@307,19%@307,14%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1608/1505 POM_5V_GPU 117/58 POM_5V_CPU 313/339 | 2025-03-16 02:36:15 PerfStat: 45.092062678          1 801 908      cache-misses              #    4,732 % of all cache refs
2025-03-16 02:36:17 | DockerStats: e028f7bc7379	26.62%	47.61MiB / 128MiB	7.45MB / 2.56MB	0B / 0B	25 | 2025-03-16 02:36:18 TegraStats: RAM 2099/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,21%@204,17%@204,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1414/1499 POM_5V_GPU 117/59 POM_5V_CPU 274/336 | 2025-03-16 02:36:18 PerfStat: 48.095522000          1 489 015      cache-misses              #    3,949 % of all cache refs
2025-03-16 02:36:20 | DockerStats: e028f7bc7379	24.80%	49.65MiB / 128MiB	9.08MB / 3.64MB	0B / 0B	25 | 2025-03-16 02:36:21 TegraStats: RAM 2103/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,20%@204,11%@204,17%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1220/1485 POM_5V_GPU 39/57 POM_5V_CPU 236/331 | 2025-03-16 02:36:20 PerfStat: 50.097314809          1 668 172      cache-misses              #    4,398 % of all cache refs
2025-03-16 02:36:22 | DockerStats: e028f7bc7379	25.67%	50.11MiB / 128MiB	11.1MB / 5.15MB	0B / 0B	25 | 2025-03-16 02:36:23 TegraStats: RAM 2100/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@518,16%@518,15%@518,17%@518] EMC_FREQ 1%@1600 GR3D_FREQ 6%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1451/1480 POM_5V_GPU 117/58 POM_5V_CPU 235/327 | 2025-03-16 02:36:23 PerfStat: 53.100422411          1 672 726      cache-misses              #    4,394 % of all cache refs
2025-03-16 02:36:25 | DockerStats: e028f7bc7379	25.36%	50.74MiB / 128MiB	12.9MB / 6.66MB	0B / 0B	25 | 2025-03-16 02:36:26 TegraStats: RAM 2101/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@403,11%@403,20%@403,10%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1375/1485 POM_5V_GPU 39/60 POM_5V_CPU 275/330 | 2025-03-16 02:36:26 PerfStat: 56.102290371          1 687 834      cache-misses              #    4,414 % of all cache refs
2025-03-16 02:36:28 | DockerStats: e028f7bc7379	25.62%	51.96MiB / 128MiB	15.1MB / 8.66MB	0B / 0B	25 | 2025-03-16 02:36:28 TegraStats: RAM 2104/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,17%@307,19%@307,19%@307] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.75C POM_5V_IN 1375/1480 POM_5V_GPU 39/59 POM_5V_CPU 314/328 | 2025-03-16 02:36:28 PerfStat: 58.103208124          2 296 545      cache-misses              #    5,950 % of all cache refs
2025-03-16 02:36:30 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:31 TegraStats: RAM 2042/3964MB (lfb 91x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,16%@204,24%@204,21%@204] EMC_FREQ 14%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@27.5C POM_5V_IN 1220/1482 POM_5V_GPU 78/59 POM_5V_CPU 236/332 | 2025-03-16 02:36:31 PerfStat: 61.105159365            231 753      cache-misses              #    0,601 % of all cache refs
