2025-03-16 02:32:03 | DockerStats: 04463a03fa97	26.27%	38.96MiB / 128MiB	4.09MB / 22.5kB	7.92MB / 0B	16 | 2025-03-16 02:32:04 TegraStats: RAM 2068/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,15%@204,14%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@27C AO@32C thermal@26.75C POM_5V_IN 1102/1475 POM_5V_GPU 0/47 POM_5V_CPU 196/321 | 2025-03-16 02:32:04 PerfStat: 30.036475988          1 333 221      cache-misses              #    3,526 % of all cache refs
2025-03-16 02:32:05 | DockerStats: 04463a03fa97	25.66%	41.1MiB / 128MiB	4.09MB / 22.5kB	7.92MB / 0B	16 | 2025-03-16 02:32:07 TegraStats: RAM 2073/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,20%@1479,13%@1479,7%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1645/1466 POM_5V_GPU 39/46 POM_5V_CPU 313/314 | 2025-03-16 02:32:06 PerfStat: 32.042045795          1 264 994      cache-misses              #    3,369 % of all cache refs
2025-03-16 02:32:08 | DockerStats: 04463a03fa97	25.46%	47.52MiB / 128MiB	4.09MB / 22.5kB	8MB / 0B	16 | 2025-03-16 02:32:09 TegraStats: RAM 2074/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@1428,26%@1428,15%@1428,25%@1428] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 2976/1509 POM_5V_GPU 77/46 POM_5V_CPU 1314/342 | 2025-03-16 02:32:09 PerfStat: 35.045605065          1 906 153      cache-misses              #    4,970 % of all cache refs
2025-03-16 02:32:11 | DockerStats: 04463a03fa97	24.74%	51.36MiB / 128MiB	4.61MB / 27.1kB	8MB / 0B	33 | 2025-03-16 02:32:12 TegraStats: RAM 2079/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@825,17%@825,13%@825,16%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1375/1499 POM_5V_GPU 39/45 POM_5V_CPU 314/340 | 2025-03-16 02:32:11 PerfStat: 37.047891470          1 133 283      cache-misses              #    2,939 % of all cache refs
2025-03-16 02:32:13 | DockerStats: 04463a03fa97	25.08%	50.86MiB / 128MiB	5.15MB / 34.4kB	8MB / 0B	28 | 2025-03-16 02:32:14 TegraStats: RAM 2080/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,20%@204,10%@204,11%@204] EMC_FREQ 11%@204 GR3D_FREQ 80%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1453/1519 POM_5V_GPU 117/46 POM_5V_CPU 235/339 | 2025-03-16 02:32:14 PerfStat: 40.050624174          1 279 056      cache-misses              #    3,338 % of all cache refs
2025-03-16 02:32:16 | DockerStats: 04463a03fa97	25.29%	51.43MiB / 128MiB	5.17MB / 55.1kB	8MB / 0B	28 | 2025-03-16 02:32:17 TegraStats: RAM 2083/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1036,13%@1036,11%@1036,12%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1569/1555 POM_5V_GPU 39/50 POM_5V_CPU 392/360 | 2025-03-16 02:32:17 PerfStat: 43.057545492          1 424 983      cache-misses              #    3,759 % of all cache refs
2025-03-16 02:32:18 | DockerStats: 04463a03fa97	24.43%	51.47MiB / 128MiB	5.22MB / 193kB	8MB / 0B	28 | 2025-03-16 02:32:20 TegraStats: RAM 2083/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@825,9%@825,21%@825,18%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1991/1585 POM_5V_GPU 78/50 POM_5V_CPU 507/386 | 2025-03-16 02:32:19 PerfStat: 45.060973726          3 141 496      cache-misses              #    8,202 % of all cache refs
2025-03-16 02:32:21 | DockerStats: 04463a03fa97	25.10%	52.04MiB / 128MiB	6.35MB / 1.25MB	8MB / 0B	28 | 2025-03-16 02:32:22 TegraStats: RAM 2083/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,14%@1479,12%@1479,17%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1952/1594 POM_5V_GPU 78/50 POM_5V_CPU 624/392 | 2025-03-16 02:32:22 PerfStat: 48.065060498          1 582 721      cache-misses              #    4,058 % of all cache refs
2025-03-16 02:32:24 | DockerStats: 04463a03fa97	25.19%	52.27MiB / 128MiB	6.39MB / 1.36MB	8MB / 0B	28 | 2025-03-16 02:32:25 TegraStats: RAM 2086/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@403,18%@403,14%@403,19%@403] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1414/1577 POM_5V_GPU 39/49 POM_5V_CPU 313/383 | 2025-03-16 02:32:24 PerfStat: 50.067693208          1 807 510      cache-misses              #    4,649 % of all cache refs
2025-03-16 02:32:26 | DockerStats: 04463a03fa97	25.69%	52.58MiB / 128MiB	6.97MB / 2.41MB	8MB / 0B	28 | 2025-03-16 02:32:27 TegraStats: RAM 2084/3964MB (lfb 89x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,16%@204,15%@204,13%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.5C POM_5V_IN 1453/1572 POM_5V_GPU 39/49 POM_5V_CPU 314/380 | 2025-03-16 02:32:27 PerfStat: 53.070596798          1 389 679      cache-misses              #    3,597 % of all cache refs
2025-03-16 02:32:29 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:30 TegraStats: RAM 2030/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,31%@204,33%@204,30%@204] EMC_FREQ 14%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1220/1569 POM_5V_GPU 39/51 POM_5V_CPU 196/374 | 2025-03-16 02:32:30 PerfStat: 56.073051688             93 991      cache-misses              #    0,242 % of all cache refs
2025-03-16 02:32:31 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:31 TegraStats: RAM 2019/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,14%@204,9%@204,6%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1102/1560 POM_5V_GPU 39/51 POM_5V_CPU 157/370 | 2025-03-16 02:32:31 PerfStat: 57.073967259      <not counted>      cache-misses
2025-03-16 02:32:33 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:33 TegraStats: RAM 2026/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,13%@307,5%@307,11%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.25C POM_5V_IN 1723/1557 POM_5V_GPU 78/51 POM_5V_CPU 352/367 | 2025-03-16 02:32:33 PerfStat: 59.077612109      <not counted>      cache-misses
2025-03-16 02:32:35 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:34 TegraStats: RAM 2017/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,3%@102,5%@102,8%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@307 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1102/1549 POM_5V_GPU 39/51 POM_5V_CPU 157/363 | 2025-03-16 02:32:34 PerfStat: 60.078814504      <not counted>      cache-misses
2025-03-16 02:32:36 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:36 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,8%@102,3%@102,6%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@307 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1102/1536 POM_5V_GPU 39/51 POM_5V_CPU 196/358 | 2025-03-16 02:32:36 PerfStat: 62.080247520      <not counted>      cache-misses
2025-03-16 02:32:38 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:38 TegraStats: RAM 2027/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,8%@204,3%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@307 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1102/1522 POM_5V_GPU 39/51 POM_5V_CPU 196/352 | 2025-03-16 02:32:38 PerfStat: 64.083197314      <not counted>      cache-misses
2025-03-16 02:32:39 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:39 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,7%@307,8%@307,6%@307] EMC_FREQ 7%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1180/1516 POM_5V_GPU 39/51 POM_5V_CPU 236/351 | 2025-03-16 02:32:39 PerfStat: 65.084396168      <not counted>      cache-misses
