2025-03-16 02:53:14 | DockerStats: 517431f3aa6d	25.67%	47.02MiB / 128MiB	4.08MB / 20.2kB	72.7MB / 0B	16 | 2025-03-16 02:53:15 TegraStats: RAM 2029/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@518,12%@518,14%@518,14%@518] EMC_FREQ 10%@204 GR3D_FREQ 69%@230 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1569/1506 POM_5V_GPU 196/57 POM_5V_CPU 235/315 | 2025-03-16 02:53:15 PerfStat: 30.031977893          1 401 312      cache-misses              #    3,570 % of all cache refs
2025-03-16 02:53:17 | DockerStats: 517431f3aa6d	25.71%	52.68MiB / 128MiB	4.08MB / 20.2kB	72.7MB / 0B	16 | 2025-03-16 02:53:18 TegraStats: RAM 2034/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,12%@204,20%@204,11%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1220/1503 POM_5V_GPU 39/58 POM_5V_CPU 196/310 | 2025-03-16 02:53:17 PerfStat: 32.036912645          1 662 505      cache-misses              #    4,186 % of all cache refs
2025-03-16 02:53:19 | DockerStats: 517431f3aa6d	25.17%	59.63MiB / 128MiB	4.36MB / 21.6kB	80.3MB / 0B	28 | 2025-03-16 02:53:20 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@710,14%@710,16%@710,14%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1490/1498 POM_5V_GPU 39/57 POM_5V_CPU 313/310 | 2025-03-16 02:53:20 PerfStat: 35.041016709          1 446 585      cache-misses              #    3,617 % of all cache refs
2025-03-16 02:53:22 | DockerStats: 517431f3aa6d	25.48%	62.52MiB / 128MiB	4.61MB / 26.2kB	80.6MB / 0B	23 | 2025-03-16 02:53:23 TegraStats: RAM 2038/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,9%@307,9%@204,15%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1569/1520 POM_5V_GPU 78/58 POM_5V_CPU 313/318 | 2025-03-16 02:53:22 PerfStat: 37.044383901          1 653 019      cache-misses              #    4,085 % of all cache refs
2025-03-16 02:53:24 | DockerStats: 517431f3aa6d	25.85%	62.85MiB / 128MiB	4.64MB / 79.8kB	80.6MB / 0B	23 | 2025-03-16 02:53:25 TegraStats: RAM 2038/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,15%@307,16%@307,11%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1180/1504 POM_5V_GPU 39/57 POM_5V_CPU 236/313 | 2025-03-16 02:53:25 PerfStat: 40.047613847          1 943 168      cache-misses              #    4,822 % of all cache refs
2025-03-16 02:53:27 | DockerStats: 517431f3aa6d	27.29%	64.04MiB / 128MiB	5.21MB / 636kB	80.6MB / 0B	23 | 2025-03-16 02:53:28 TegraStats: RAM 2039/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@403,11%@307,12%@518,16%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1569/1503 POM_5V_GPU 78/56 POM_5V_CPU 391/316 | 2025-03-16 02:53:28 PerfStat: 43.061557074          1 590 263      cache-misses              #    3,902 % of all cache refs
2025-03-16 02:53:30 | DockerStats: 517431f3aa6d	24.97%	64.02MiB / 128MiB	5.24MB / 787kB	80.6MB / 0B	23 | 2025-03-16 02:53:31 TegraStats: RAM 2042/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,16%@204,24%@204,23%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1375/1499 POM_5V_GPU 39/58 POM_5V_CPU 353/315 | 2025-03-16 02:53:30 PerfStat: 45.068475689          2 162 641      cache-misses              #    5,299 % of all cache refs
2025-03-16 02:53:32 | DockerStats: 517431f3aa6d	25.13%	64.25MiB / 128MiB	6.33MB / 1.8MB	80.6MB / 0B	23 | 2025-03-16 02:53:33 TegraStats: RAM 2040/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@518,7%@518,17%@518,16%@518] EMC_FREQ 11%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1414/1494 POM_5V_GPU 39/58 POM_5V_CPU 314/316 | 2025-03-16 02:53:33 PerfStat: 48.077982644          1 570 917      cache-misses              #    3,766 % of all cache refs
2025-03-16 02:53:35 | DockerStats: 517431f3aa6d	25.25%	64.6MiB / 128MiB	6.88MB / 2.37MB	80.6MB / 0B	23 | 2025-03-16 02:53:36 TegraStats: RAM 2042/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@403,12%@403,13%@403,15%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1759/1514 POM_5V_GPU 156/61 POM_5V_CPU 352/322 | 2025-03-16 02:53:35 PerfStat: 50.081860360          2 079 222      cache-misses              #    4,907 % of all cache refs
2025-03-16 02:53:37 | DockerStats: 517431f3aa6d	25.04%	64.96MiB / 128MiB	7.44MB / 2.97MB	80.6MB / 0B	23 | 2025-03-16 02:53:38 TegraStats: RAM 2040/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,13%@204,16%@204,18%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1220/1507 POM_5V_GPU 39/60 POM_5V_CPU 275/320 | 2025-03-16 02:53:38 PerfStat: 53.095550825          1 682 154      cache-misses              #    3,978 % of all cache refs
