2025-03-16 02:28:14 | DockerStats: 4855b4006e87	25.95%	53.88MiB / 128MiB	4.08MB / 20.6kB	70.7MB / 0B	16 | 2025-03-16 02:28:15 TegraStats: RAM 2079/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@1036,20%@1036,15%@1036,6%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1451/1512 POM_5V_GPU 39/61 POM_5V_CPU 313/321 | 2025-03-16 02:28:15 PerfStat: 30.050213606          1 759 084      cache-misses              #    4,146 % of all cache refs
2025-03-16 02:28:16 | DockerStats: 4855b4006e87	24.76%	57.38MiB / 128MiB	4.08MB / 20.6kB	70.7MB / 0B	16 | 2025-03-16 02:28:18 TegraStats: RAM 2081/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,12%@204,11%@204,12%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1837/1516 POM_5V_GPU 117/62 POM_5V_CPU 313/316 | 2025-03-16 02:28:17 PerfStat: 32.052482616          1 689 419      cache-misses              #    3,995 % of all cache refs
2025-03-16 02:28:19 | DockerStats: 4855b4006e87	25.03%	64.44MiB / 128MiB	4.38MB / 24kB	78.4MB / 0B	22 | 2025-03-16 02:28:20 TegraStats: RAM 2083/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1326,20%@1326,14%@1326,13%@1326] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1837/1518 POM_5V_GPU 78/61 POM_5V_CPU 663/323 | 2025-03-16 02:28:20 PerfStat: 35.054860057          1 344 046      cache-misses              #    3,221 % of all cache refs
2025-03-16 02:28:22 | DockerStats: 4855b4006e87	26.01%	65.66MiB / 128MiB	4.61MB / 26.2kB	78.6MB / 0B	22 | 2025-03-16 02:28:23 TegraStats: RAM 2084/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,13%@204,13%@204,9%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1259/1507 POM_5V_GPU 39/60 POM_5V_CPU 236/318 | 2025-03-16 02:28:22 PerfStat: 37.056718023            834 018      cache-misses              #    2,019 % of all cache refs
2025-03-16 02:28:24 | DockerStats: 4855b4006e87	25.24%	66.16MiB / 128MiB	4.65MB / 131kB	78.6MB / 0B	22 | 2025-03-16 02:28:25 TegraStats: RAM 2086/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@518,12%@518,18%@518,17%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1759/1508 POM_5V_GPU 39/59 POM_5V_CPU 508/321 | 2025-03-16 02:28:25 PerfStat: 40.059167757          1 888 675      cache-misses              #    4,533 % of all cache refs
2025-03-16 02:28:27 | DockerStats: 4855b4006e87	25.90%	66.16MiB / 128MiB	5.2MB / 684kB	78.6MB / 0B	22 | 2025-03-16 02:28:28 TegraStats: RAM 2087/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@1479,18%@1479,6%@1479,7%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1837/1541 POM_5V_GPU 39/58 POM_5V_CPU 664/346 | 2025-03-16 02:28:28 PerfStat: 43.063274321          2 223 664      cache-misses              #    5,259 % of all cache refs
2025-03-16 02:28:29 | DockerStats: 4855b4006e87	25.62%	66.67MiB / 128MiB	5.76MB / 1.24MB	78.6MB / 0B	22 | 2025-03-16 02:28:31 TegraStats: RAM 2086/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@307,11%@307,17%@307,12%@307] EMC_FREQ 10%@204 GR3D_FREQ 99%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1645/1548 POM_5V_GPU 196/61 POM_5V_CPU 274/343 | 2025-03-16 02:28:30 PerfStat: 45.067145943          1 726 851      cache-misses              #    4,087 % of all cache refs
2025-03-16 02:28:32 | DockerStats: 4855b4006e87	25.06%	66.79MiB / 128MiB	6.32MB / 1.78MB	78.6MB / 0B	22 | 2025-03-16 02:28:33 TegraStats: RAM 2088/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,9%@1479,11%@1479,21%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1605/1543 POM_5V_GPU 117/62 POM_5V_CPU 352/342 | 2025-03-16 02:28:33 PerfStat: 48.072392930          1 580 885      cache-misses              #    3,736 % of all cache refs
2025-03-16 02:28:35 | DockerStats: 4855b4006e87	25.33%	68.3MiB / 128MiB	6.87MB / 2.39MB	78.6MB / 0B	22 | 2025-03-16 02:28:36 TegraStats: RAM 2091/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,19%@204,17%@204,7%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1296/1531 POM_5V_GPU 39/60 POM_5V_CPU 236/337 | 2025-03-16 02:28:35 PerfStat: 50.075051524          1 830 548      cache-misses              #    4,296 % of all cache refs
2025-03-16 02:28:37 | DockerStats: 4855b4006e87	25.36%	71.29MiB / 128MiB	7.97MB / 3.45MB	78.6MB / 0B	22 | 2025-03-16 02:28:38 TegraStats: RAM 2090/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@403,15%@403,16%@403,13%@403] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1336/1526 POM_5V_GPU 39/59 POM_5V_CPU 431/337 | 2025-03-16 02:28:38 PerfStat: 53.078975901          1 439 648      cache-misses              #    3,367 % of all cache refs
