timestamp,container_id,cpu_percent,mem_usage,mem_limit,net_in,net_out,block_in,block_out,pids,source_file,file_timestamp,ram_used,ram_total,swap_used,swap_total,avg_cpu,cpu_temp,cycles,instructions
2025-03-10 17:48:09,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1944,3964,53,1982,10.75,27.5,,
2025-03-10 17:48:11,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1955,3964,53,1982,8.75,27.0,,
2025-03-10 17:48:12,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1943,3964,53,1982,9.0,27.0,,
2025-03-10 17:48:14,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1947,3964,53,1982,10.25,27.5,,
2025-03-10 17:48:16,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,8.75,27.5,,
2025-03-10 17:48:17,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1946,3964,53,1982,9.5,27.5,,
2025-03-10 17:48:19,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1937,3964,53,1982,10.75,27.5,,
2025-03-10 17:48:20,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1946,3964,53,1982,11.0,27.0,,
2025-03-10 17:48:22,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,8.5,27.0,,
2025-03-10 17:48:24,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1937,3964,53,1982,8.75,27.5,,
2025-03-10 17:48:25,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1946,3964,53,1982,8.75,27.5,,
2025-03-10 17:48:27,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,10.0,27.0,,
2025-03-10 17:48:28,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1947,3964,53,1982,15.0,27.5,,
2025-03-10 17:48:30,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,9.25,27.0,,
2025-03-10 17:48:31,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1948,3964,53,1982,7.5,27.5,,
2025-03-10 17:48:33,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1937,3964,53,1982,10.5,27.0,,
2025-03-10 17:48:35,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1935,3964,53,1982,7.5,27.5,,
2025-03-10 17:48:36,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1934,3964,53,1982,7.75,27.5,,
2025-03-10 17:48:38,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1937,3964,53,1982,13.75,27.5,,
2025-03-10 17:48:39,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1949,3964,53,1982,10.25,27.5,,
2025-03-10 17:48:41,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1935,3964,53,1982,8.5,28.0,,
2025-03-10 17:48:43,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,8.25,27.0,,
2025-03-10 17:48:44,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1936,3964,53,1982,8.25,27.0,,
2025-03-10 17:48:46,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1946,3964,53,1982,7.75,27.0,,
2025-03-10 17:48:47,86f8ce2b7f35,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_174712.log,174712,1935,3964,53,1982,8.5,27.5,,
2025-03-10 17:51:39,00c51c076cec,39.09,22.5MiB,512MiB,1.95kB,0B,41.8MB,0B,10,docker_stats_20250310_175139.log,175139,1991,3964,53,1982,18.75,28.0,378903304.0,225549953.0
2025-03-10 17:51:41,00c51c076cec,41.76,29.2MiB,512MiB,2.36kB,0B,52.4MB,0B,10,docker_stats_20250310_175139.log,175139,1991,3964,53,1982,18.75,28.0,378903304.0,225549953.0
2025-03-10 17:51:44,00c51c076cec,40.44,34.27MiB,512MiB,2.36kB,0B,64.6MB,0B,10,docker_stats_20250310_175139.log,175139,2002,3964,53,1982,16.0,28.0,278273920.0,163154277.0
2025-03-10 17:51:46,00c51c076cec,19.75,36.89MiB,512MiB,2.36kB,0B,70.6MB,0B,10,docker_stats_20250310_175139.log,175139,2004,3964,53,1982,18.75,28.5,372563347.0,225895967.0
2025-03-10 17:51:49,00c51c076cec,37.66,41.38MiB,512MiB,4.08MB,21.6kB,70.7MB,0B,16,docker_stats_20250310_175139.log,175139,2005,3964,53,1982,10.25,28.0,62597796.0,36589474.0
2025-03-10 17:51:52,00c51c076cec,40.25,50.59MiB,512MiB,4.61MB,23.2kB,72.9MB,0B,16,docker_stats_20250310_175139.log,175139,1994,3964,53,1982,17.5,28.5,361371210.0,197764784.0
2025-03-10 17:51:54,00c51c076cec,40.37,57.45MiB,512MiB,5.4MB,44.2kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2015,3964,53,1982,17.25,28.0,421887527.0,226707713.0
2025-03-10 17:51:57,00c51c076cec,40.58,57.43MiB,512MiB,5.93MB,46.6kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2002,3964,53,1982,20.5,27.5,368870474.0,182045537.0
2025-03-10 17:51:59,00c51c076cec,40.8,61.47MiB,512MiB,5.93MB,46.6kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2013,3964,53,1982,21.25,27.5,414663019.0,212506777.0
2025-03-10 17:52:02,00c51c076cec,41.12,61.71MiB,512MiB,5.93MB,46.6kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2018,3964,53,1982,22.75,28.0,398989549.0,226290347.0
2025-03-10 17:52:05,00c51c076cec,39.73,65.98MiB,512MiB,5.93MB,46.6kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2011,3964,53,1982,33.75,29.0,488632966.0,258264763.0
2025-03-10 17:52:07,00c51c076cec,40.67,66.15MiB,512MiB,5.93MB,46.6kB,78.4MB,0B,26,docker_stats_20250310_175139.log,175139,2022,3964,53,1982,29.25,28.0,489859784.0,291245431.0
2025-03-10 17:52:10,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,2013,3964,53,1982,25.75,28.5,418218358.0,293798640.0
2025-03-10 17:52:11,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1957,3964,53,1982,30.75,28.0,347279765.0,202517914.0
2025-03-10 17:52:13,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1946,3964,53,1982,9.25,28.5,,
2025-03-10 17:52:15,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1948,3964,53,1982,15.5,28.0,,
2025-03-10 17:52:16,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1959,3964,53,1982,10.5,28.0,,
2025-03-10 17:52:18,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1947,3964,53,1982,10.5,28.5,,
2025-03-10 17:52:19,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1956,3964,53,1982,7.25,28.5,,
2025-03-10 17:52:21,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1948,3964,53,1982,8.5,28.0,,
2025-03-10 17:52:23,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1947,3964,53,1982,9.0,28.0,,
2025-03-10 17:52:24,00c51c076cec,0.0,0B,0B,0B,0B,0B,0B,0,docker_stats_20250310_175139.log,175139,1947,3964,53,1982,9.5,28.0,,
